id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
e3kPb8NQI79jTG4EJLrg5g==,Propiedad,2020-05-30,9999-12-31,2020-05-30,-34.6288638931,-58.4404371951,Argentina,Capital Federal,Parque Chacabuco,,,,,3.0,2.0,100.0,90.0,Mensual,"PH en Venta en Parque Chacabuco 4 ambientes 2 baños 90 m2 + patio en PB, sin expensas - Av Directorio 900",no paga
JF9oUzTY0/tzixNa/EuIsg==,Propiedad,2020-04-08,2020-04-16,2020-04-08,-34.581203033,-58.4312115595,Argentina,Capital Federal,Palermo,,,,3.0,2.0,2.0,120.0,120.0,,PH en Venta en El Barrio de Palermo tipo casa (sin expensas),no paga
UK+f3opS1zrz9pRfAFtg4A==,Propiedad,2020-06-02,2020-09-18,2020-06-02,-32.946465429,-60.88398390930001,Argentina,Santa Fe,Roldán,,,,5.0,2.0,1.0,,,,CASA 2 DORMITORIOS | TIERRA DE SUEÑOS 3 | ROLDÁN,no paga
cJV4CibucMD2tzGxxNQr3w==,Propiedad,2020-04-04,9999-12-31,2020-04-04,-34.569185192,-59.1168322888,Argentina,Buenos Aires Interior,Luján,,,,4.0,2.0,2.0,,,,Casa PH en Venta en Lujan Centro,no paga
2NcJraS31QFkwr8ZVYrjaQ==,Propiedad,2020-04-25,2020-05-08,2020-04-25,-38.0820054998,-57.5433646582,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Punta Mogotes,,,5.0,3.0,3.0,240.0,150.0,,Espectacular Duplex  a 3 cuadras del mar - Categoria - 5 ambientes - Financiacion.  ,no paga
zxXGy8BPGE/UseU4r+W6PA==,Propiedad,2020-07-27,9999-12-31,2020-07-27,-37.9575635,-57.5498196,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,2.0,,,,Casa en PH de 3 ambientes con cochera cubierta y patio,no paga
CkXbgVF/yY2GH07pnK28eg==,Propiedad,2020-02-14,9999-12-31,2020-02-14,-31.457301899999997,-64.15059989999999,Argentina,Córdoba,,,,,5.0,3.0,2.0,,,Mensual,PH - Claros del Bosque,no paga
F/c712hl7SXrfaJG/HneJg==,Propiedad,2019-09-27,2020-06-24,2019-09-27,-34.6108823,-58.4714323,Argentina,Capital Federal,Villa Santa Rita,,,,2.0,,1.0,40.0,38.0,Mensual,PH - Villa Santa Rita,no paga
Oak/XcLDblDUkngK7DmxdA==,Propiedad,2019-12-11,2019-12-20,2019-12-11,-34.6311783,-58.485699100000005,Argentina,Capital Federal,Floresta,,,,6.0,4.0,2.0,103.0,70.0,,PH en Floresta a Reciclar C/ Entrada Indepte   Cochera - Ideal Inversion!,no paga
C6ZyV+IZ73etVrhjY5QDQQ==,Propiedad,2020-03-20,2020-04-03,2020-03-20,-34.6249359628,-58.424555573599996,Argentina,Capital Federal,Almagro,,,,4.0,3.0,3.0,150.0,128.0,,José Mármol 900 Almagro PH 4amb c/coch U$350.000 Apto Cred y Prof,no paga
0G8pjbkDbl3alxImiy5hdw==,Propiedad,2019-11-08,2019-11-22,2019-11-08,-34.5932724106,-58.436995606800004,Argentina,Capital Federal,Villa Crespo,,,,4.0,3.0,1.0,300.0,165.0,,Depto.tipo casa de 4 ambientes en Venta en Villa crespo,no paga
O5Y9MBjXto/+JwN2BRjkSg==,Propiedad,2020-05-30,9999-12-31,2020-05-30,-34.6506786,-58.5153664,Argentina,Capital Federal,Liniers,,,,2.0,1.0,1.0,,,,"Ph en Venta en Liniers, Capital federal U$S 125000",no paga
ssQFWtR+jR9TU2Elg1GjTw==,Propiedad,2019-12-18,2020-06-27,2019-12-18,-34.509863,-58.569238,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Boulogne Sur Mer,,,3.0,2.0,1.0,140.0,60.0,,VENTA PH 3 AMBIENTES CON JARDÍN Y PATIO ZONA NORTE,no paga
5rLBuwAf+jKCCasQrRzYEA==,Propiedad,2020-02-26,2020-10-20,2020-02-26,-34.6820085,-58.3474235,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Sarandi,,,3.0,2.0,3.0,90.0,90.0,Mensual,Venta de departamento tipo casa PH 3 ambientes en Sarandi (26212),no paga
5BTn6UDBKrBwkO8F5m50fg==,Propiedad,2020-02-11,2020-02-13,2020-02-11,-34.587578799999996,-58.440387199999996,Argentina,Capital Federal,Palermo,,,,3.0,2.0,1.0,120.0,81.0,,Fitz Roy 1300 Palermo 3amb U$220.000 Apto Cred,no paga
lqJGmjrT9MkSXTly/lGpSQ==,Propiedad,2020-02-03,2020-02-19,2020-02-03,,,Argentina,Capital Federal,,,,,3.0,2.0,,,,,PH 3 AMB CON COCHERA,no paga
vEeLDJFygnJ/lWZuZXeuhQ==,Propiedad,2020-08-11,9999-12-31,2020-08-11,-34.622024700000004,-58.522757299999995,Argentina,Capital Federal,Villa Real,,,,3.0,2.0,1.0,143.0,105.0,Mensual,PH 3 AMBIENTES TIPO LOFT CON TERRAZA PROPIA SIN EXPENSAS.,no paga
V7LfbehfbTCS+kmStI+/pw==,Propiedad,2020-07-28,9999-12-31,2020-07-28,-32.9806826,-60.64140129999999,Argentina,Santa Fe,Rosario,,,,4.0,2.0,1.0,84.0,49.0,,Oportunidad!!! Pasillo dos dormitorios con Patio y Terraza. ,no paga
TzGFFLb2GycGr/m5O9ZLJA==,Propiedad,2020-05-16,2020-05-20,2020-05-16,-34.6085,-58.37344,Argentina,Capital Federal,Almagro,,,,4.0,3.0,4.0,120.0,120.0,,Depto.tipo casa de 4 ambientes en Venta en Almagro,no paga
+7rH0M8Dh7ePt3IUlbW8pg==,Propiedad,2019-10-18,2020-01-19,2019-10-18,-34.543366999999996,-58.482344,Argentina,Capital Federal,Saavedra,,,,3.0,2.0,1.0,110.0,110.0,,"Vta PH con 110 m, terraza, cochera /Saavedra",no paga
ELdCcsJJnOAmHgFl6QjX8g==,Propiedad,2020-06-02,9999-12-31,2020-06-02,-34.6726149,-58.5157713,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,La Tablada,,,,,,,,Mensual,"LA TABLADA, PH DE 3 AMBIENTES CON PATIO (INTERNO)",no paga
fgqKulOT/LE0yiY3jl43yw==,Propiedad,2019-11-10,2020-02-23,2019-11-10,-34.655732,-58.51080699999999,Argentina,Capital Federal,Mataderos,,,,2.0,1.0,1.0,48.0,48.0,,PH EN VENTA | 2 AMBIENTES - MATADEROS -OPORTUNIDAD,no paga
YAirXN4K01IxEbBux3E5Vg==,Propiedad,2020-07-14,2020-09-02,2020-07-14,-34.646871999999995,-58.572042,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Ramos Mejía,,,4.0,3.0,1.0,100.0,84.0,,VENTA DUPLEX 4 AMBIENTES C COCHERA EN RAMOS MEJIA,no paga
l6pZwktsBM5to6JnSCf4RQ==,Propiedad,2019-08-30,9999-12-31,2019-08-30,-34.6707495,-58.5881054,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,San Justo,,,3.0,,1.0,,65.0,Mensual,PH - San Justo,no paga
IwRvzQoSSVx1UinBJTspvw==,Propiedad,2020-05-29,2020-06-01,2020-05-29,-34.577686770700005,-58.428510814300004,Argentina,Capital Federal,Palermo,,,,2.0,1.0,1.0,44.0,44.0,,Departamento Ph de dos ambientes y medio a reciclar en venta en Palermo,no paga
DvqdgXcEMEL0J50kdVVoYg==,Propiedad,2020-08-16,9999-12-31,2020-08-16,,,Argentina,Capital Federal,Caballito,,,,5.0,4.0,5.0,350.0,250.0,,"EXCELENTE CASA TIPO PH (APTO CREDITO) 5 AMB 1 SUITTE C/DEP  PATIO,TERRAZA, COCHERA",no paga
wM5/uPqS4RLqYsWwJK6gOA==,Propiedad,2019-10-20,2019-11-06,2019-10-20,-34.5955966314,-58.4477355791,Argentina,Capital Federal,Chacarita,,,,2.0,1.0,1.0,41.0,41.0,,Depto.tipo casa de 2 ambientes en Venta en Chacarita,no paga
sh1MPZ8raXEHEteboyKZkg==,Propiedad,2019-12-20,2020-03-08,2019-12-20,-34.679981,-58.498142,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,,,,3.0,2.0,1.0,57.0,52.0,,PH en Venta en Villa Madero 3 Ambientes con Patio,no paga
7zRZoDqXiaUFWgqEGTaCzw==,Propiedad,2020-06-20,2020-07-04,2020-06-20,-34.5579915,-58.4750476,Argentina,Capital Federal,Coghlan,,,,2.0,1.0,2.0,,,,"REAL OPORTUNIDAD ! LOCAL CON RENTA $30,000",no paga
hgh5ONdk8FjsSbF3NYFmgw==,Propiedad,2020-08-03,9999-12-31,2020-08-03,-37.9878202,-57.578699,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,,,,PH de 3 ambientes en venta,no paga
dr6NaljE5tha+QV+eFcY9w==,Propiedad,2020-04-05,9999-12-31,2020-04-05,-36.7110695846,-56.6776746353,Argentina,Buenos Aires Costa Atlántica,Mar de Ajó,,,,2.0,1.0,1.0,,,,Departamento Tipo Casa en Venta en Mar de Ajo,no paga
xIXues6ldvQ/d9/3ElELcw==,Propiedad,2020-03-09,9999-12-31,2020-03-09,-34.525238,-58.4941076,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Florida,,,3.0,2.0,2.0,135.0,77.0,Mensual,VENTA PH 3 AMBIENTES EN FLORIDA MITRE,no paga
cS70v98Dkslxlnqg/oFIqw==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.6957878663,-58.3765980645,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,,,,3.0,2.0,2.0,,,,Casa PH en Venta en Gerli Este,no paga
ynriSg4uoHIXGXCrLDVwgA==,Propiedad,2019-12-26,2020-09-02,2019-12-26,,,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Haedo,,,3.0,,1.0,90.0,60.0,,PH en Venta Haedo / Moron (A118 2671),no paga
tKwGd472gB3Hj7bcPJw+0A==,Propiedad,2020-05-19,2020-05-20,2020-05-19,-34.6008577036,-58.438250419300005,Argentina,Capital Federal,Almagro,,,,4.0,3.0,3.0,118.0,118.0,,Depto.tipo casa de 4 ambientes en Venta en Almagro,no paga
WYaR2CQ4lS4uTz7VBTH9Kg==,Propiedad,2020-02-22,2020-03-14,2020-02-22,-34.628555,-58.519057999999994,Argentina,Capital Federal,Versalles,,,,3.0,2.0,1.0,96.0,52.0,,PH 3 AMBIENTES A ESTRENAR CON JARDÍN SIN EXPENSAS,no paga
fd3pokGECnNGy5NOHkkG1g==,Propiedad,2019-10-01,2019-11-21,2019-10-01,-34.6463271075,-58.664667601000005,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,,,,,2.0,1.0,120.0,90.0,Mensual,Casa PH 3 amb. En Venta - Ituzaingó Norte,no paga
GAGyEl5B2on7+dEguQAYuQ==,Propiedad,2019-10-23,2019-10-24,2019-10-23,-34.6088722,-58.4302902,Argentina,Capital Federal,Caballito,,,,2.0,1.0,1.0,40.0,40.0,Mensual,PH 2 AMBIENTES TODO LUMINOSO EN CABALLITO,no paga
WQph1spKcZYMFfZGyzuAtQ==,Propiedad,2020-08-02,2020-08-26,2020-08-02,-34.64844,-58.542365000000004,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Ramos Mejía,,,4.0,3.0,2.0,92.0,80.0,,VENTA PH 4 AMBIENTES CON PATIO -  RAMOS MEJIA,no paga
r9PEiojq9IzumBxrmgS7aw==,Propiedad,2019-12-04,2019-12-23,2019-12-04,-34.5481016,-58.4597491,Argentina,Capital Federal,Nuñez,,,,2.0,1.0,1.0,66.0,46.0,Mensual,11 DE SEPTIEMBRE 3300 / NUÑEZ /.VENTA 2 1/2 AMBIENTES,no paga
iTyJAYrKGmb7o+On1fhygg==,Propiedad,2020-01-14,2020-02-13,2020-01-14,-34.565006700000005,-58.486385399999996,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,250.0,170.0,,"ÚNICO. Moderno PH con cochera, patio, terraza y quincho",no paga
Wlaqu04gDIZk15ymHfeMJw==,Propiedad,2020-09-01,2020-09-04,2020-09-01,-34.920962599999996,-57.9186983,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,La Plata,,,,,1.0,170.0,150.0,Mensual,36 n° 135 entre 117 y 118 La Plata,no paga
f+Abrqj8OcnBTW2EFD1hxg==,Propiedad,2020-05-13,2020-06-08,2020-05-13,-34.66412329999999,-58.504822499999996,Argentina,Capital Federal,Mataderos,,,,6.0,5.0,3.0,180.0,150.0,,PH 6 AMBIENTES - MATADEROS,no paga
q7lvfGTpXeZI4KYYzeSsqA==,Propiedad,2020-03-30,9999-12-31,2020-03-30,-34.608075300900005,-58.442744735,Argentina,Capital Federal,Caballito,,,,3.0,2.0,1.0,140.0,100.0,Mensual,"Hermoso PH  - Terraza y Quincho Propio - Parque Centenario, Capital Federal",no paga
/Iv5fM/q8sp8C7IR7sSXDw==,Propiedad,2019-12-09,2020-03-01,2019-12-09,-34.6458027,-58.5065166,Argentina,Capital Federal,Liniers,,,,,2.0,2.0,63.0,106.0,,DEPTO 3 AMBIENTES EN 1° PISO EN POZO - PROXIMO A ENTREGAR,no paga
IDdaAYrSuQw9DOkzntABig==,Propiedad,2020-07-22,9999-12-31,2020-07-22,-37.095842600000005,-56.8410251,Argentina,Buenos Aires Costa Atlántica,Pinamar,,,,4.0,3.0,3.0,,,,CASA RETAMA- UBICADA A 250 MTS  DEL MAR,no paga
qqLk528OOYJjQrZVwIh5KQ==,Propiedad,2020-02-22,2020-08-31,2020-02-22,-34.631813,-58.535779000000005,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Ciudadela,,,3.0,2.0,1.0,61.0,61.0,,Venta PH entrada independiente - muy luminoso!,no paga
Op8nZ51NLxxb3tUr7zZ8+g==,Propiedad,2020-01-08,2020-01-24,2020-01-08,-34.640665167399995,-58.408071989300005,Argentina,Capital Federal,Parque Patricios,,,,7.0,6.0,3.0,280.0,280.0,,Depto.tipo casa de 7 ambientes en Venta en Parque patricios,no paga
o/y7dU6/9PcUHvrdikPT3g==,Propiedad,2020-06-20,2020-07-04,2020-06-20,-34.612753999999995,-58.41326479999999,Argentina,Capital Federal,Villa Crespo,,,,3.0,2.0,2.0,,,,Hermoso PH 3 Amb + Studio + Patio + Lavadero,no paga
X0vB4IH7NNHbM+oRZEussw==,Propiedad,2019-11-25,2019-12-22,2019-11-25,-34.665849,-58.446957,Argentina,Capital Federal,Villa Soldati,,,,10.0,6.0,4.0,300.0,240.0,,Oportuniad dos familias 2 amplios PH,no paga
