edad,categ_laboral,estado_civil,nivel_educacion,deuda,balance,vivienda,prestamo,contacto,dia,mes,anio,duracion,cant_actual,dias_entre,cant_previa,resultado_ant,suscribe
57,jubiladx,casadx,universitario/terciario,no,906,si,no,desconocido,7,may,2008,117,1,-1,0,desconocido,no
47,administrador,casadx,secundario,no,104,si,si,celular,14,jul,2008,77,2,-1,0,desconocido,no
32,operarix,divorciadx/viudx,desconocido,no,291,si,si,desconocido,27,jun,2008,120,6,-1,0,desconocido,no
44,tecnico,divorciadx/viudx,primario,no,538,no,no,celular,31,jul,2008,196,2,-1,0,desconocido,no
31,administrador,solterx,secundario,no,1588,si,no,desconocido,3,jun,2008,14,1,-1,0,desconocido,no
44,tecnico,casadx,secundario,no,56,no,no,celular,22,ago,2008,148,8,-1,0,desconocido,no
35,tecnico,solterx,universitario/terciario,no,914,no,no,desconocido,3,jun,2008,166,1,-1,0,desconocido,no
31,desempleadx,casadx,primario,no,309,si,no,desconocido,8,may,2008,104,3,-1,0,desconocido,no
43,trabajadora casas particulares,casadx,primario,no,0,si,no,celular,25,ago,2008,152,3,-1,0,desconocido,no
35,gestion,casadx,secundario,no,839,si,no,desconocido,23,may,2008,50,3,-1,0,desconocido,no
34,operarix,casadx,secundario,no,326,si,si,desconocido,15,may,2008,150,2,-1,0,desconocido,no
48,operarix,casadx,primario,no,231,si,no,desconocido,9,may,2008,752,3,-1,0,desconocido,no
52,administrador,solterx,secundario,no,3348,si,no,desconocido,14,may,2008,407,4,-1,0,desconocido,no
26,tecnico,solterx,universitario/terciario,no,813,si,no,desconocido,29,may,2008,140,3,-1,0,desconocido,no
23,tecnico,solterx,universitario/terciario,no,1129,si,no,desconocido,28,may,2008,806,1,-1,0,desconocido,no
51,gestion,casadx,universitario/terciario,no,307,si,no,desconocido,30,may,2008,206,2,-1,0,desconocido,no
32,administrador,casadx,secundario,no,9049,si,no,celular,21,nov,2008,536,1,-1,0,desconocido,no
45,operarix,casadx,secundario,no,13156,no,no,celular,21,ago,2008,62,4,-1,0,desconocido,no
29,administrador,casadx,secundario,no,36,si,no,desconocido,28,may,2008,126,1,-1,0,desconocido,no
49,tecnico,casadx,secundario,no,633,no,no,celular,5,ago,2008,201,2,-1,0,desconocido,no
26,servicios,casadx,secundario,no,311,si,no,desconocido,28,may,2008,373,1,-1,0,desconocido,no
53,operarix,divorciadx/viudx,primario,no,255,si,no,desconocido,8,may,2008,206,2,-1,0,desconocido,no
48,empresarix,casadx,universitario/terciario,si,-392,no,no,celular,31,jul,2008,725,4,-1,0,desconocido,no
54,administrador,casadx,secundario,no,111,no,no,celular,28,ago,2008,29,13,-1,0,desconocido,no
51,operarix,casadx,primario,no,804,si,no,celular,9,jul,2008,176,1,-1,0,desconocido,no
49,gestion,divorciadx/viudx,universitario/terciario,no,1115,no,no,desconocido,19,jun,2008,138,9,-1,0,desconocido,no
37,empresarix,casadx,universitario/terciario,no,7944,no,no,celular,21,nov,2008,102,1,-1,0,desconocido,no
52,operarix,casadx,primario,no,241,si,no,desconocido,26,may,2008,729,2,-1,0,desconocido,no
42,servicios,solterx,desconocido,no,410,no,no,celular,21,nov,2008,34,2,-1,0,desconocido,no
49,empresarix,casadx,primario,no,563,no,no,desconocido,19,jun,2008,84,1,-1,0,desconocido,no
33,gestion,casadx,universitario/terciario,no,644,no,no,celular,11,ago,2008,99,2,-1,0,desconocido,no
54,operarix,casadx,secundario,no,0,no,no,telefono fijo,17,nov,2008,483,1,-1,0,desconocido,no
52,administrador,casadx,primario,no,270,si,no,desconocido,7,may,2008,294,2,-1,0,desconocido,no
36,desempleadx,casadx,secundario,no,-872,si,si,celular,20,nov,2008,153,1,183,1,fallo,no
55,tecnico,divorciadx/viudx,universitario/terciario,no,264,si,no,desconocido,30,may,2008,34,2,-1,0,desconocido,no
40,operarix,casadx,secundario,no,273,si,no,desconocido,19,jun,2008,1082,1,-1,0,desconocido,no
37,tecnico,solterx,secundario,no,3326,si,no,desconocido,21,may,2008,799,1,-1,0,desconocido,no
37,independiente,solterx,universitario/terciario,no,984,no,no,desconocido,6,jun,2008,334,1,-1,0,desconocido,no
48,operarix,casadx,secundario,no,1913,si,no,desconocido,15,may,2008,115,1,-1,0,desconocido,no
33,gestion,solterx,desconocido,no,1534,si,no,celular,11,jul,2008,1041,2,-1,0,desconocido,no
44,tecnico,divorciadx/viudx,secundario,no,0,si,no,celular,28,jul,2008,463,2,-1,0,desconocido,no
30,independiente,casadx,secundario,no,2153,si,no,celular,20,nov,2008,139,1,-1,0,desconocido,no
35,operarix,casadx,primario,no,0,si,no,celular,10,jul,2008,421,1,-1,0,desconocido,no
46,trabajadora casas particulares,casadx,primario,no,4064,no,no,desconocido,20,jun,2008,62,4,-1,0,desconocido,no
33,trabajadora casas particulares,casadx,secundario,no,230,no,si,celular,29,ago,2008,264,2,-1,0,desconocido,no
51,desempleadx,casadx,primario,no,0,no,no,celular,29,jul,2008,132,2,-1,0,desconocido,no
35,operarix,casadx,secundario,no,-557,si,si,desconocido,21,may,2008,249,1,-1,0,desconocido,no
30,gestion,solterx,universitario/terciario,no,775,si,no,desconocido,16,jun,2008,124,2,-1,0,desconocido,no
42,tecnico,solterx,secundario,no,1882,si,no,desconocido,15,may,2008,87,1,-1,0,desconocido,no
51,empresarix,casadx,universitario/terciario,no,5403,no,no,desconocido,6,jun,2008,42,1,-1,0,desconocido,no
48,servicios,casadx,secundario,no,35,no,no,celular,6,ago,2008,232,4,-1,0,desconocido,no
34,gestion,solterx,universitario/terciario,no,3282,si,no,celular,24,jul,2008,143,4,-1,0,desconocido,no
47,gestion,casadx,universitario/terciario,no,260,no,si,celular,8,ago,2008,138,2,-1,0,desconocido,no
40,gestion,casadx,universitario/terciario,no,0,si,no,telefono fijo,16,jul,2008,87,5,-1,0,desconocido,no
57,tecnico,casadx,universitario/terciario,no,121,no,no,celular,21,ago,2008,135,2,-1,0,desconocido,no
36,operarix,divorciadx/viudx,secundario,no,-140,si,no,desconocido,26,may,2008,222,2,-1,0,desconocido,no
39,independiente,casadx,secundario,si,-571,no,no,desconocido,6,jun,2008,180,2,-1,0,desconocido,no
46,servicios,divorciadx/viudx,secundario,no,1263,si,no,telefono fijo,21,nov,2008,220,2,-1,0,desconocido,no
52,tecnico,casadx,universitario/terciario,no,214,no,no,celular,29,ago,2008,161,3,-1,0,desconocido,no
52,operarix,casadx,primario,no,17,si,no,desconocido,29,may,2008,30,2,-1,0,desconocido,no
33,servicios,casadx,secundario,no,1553,si,no,desconocido,27,may,2008,492,8,-1,0,desconocido,no
57,gestion,casadx,universitario/terciario,no,215,no,si,celular,23,jul,2008,288,9,-1,0,desconocido,no
32,gestion,solterx,universitario/terciario,no,586,si,no,celular,19,nov,2008,158,4,-1,0,desconocido,no
43,operarix,casadx,secundario,no,545,si,no,celular,21,nov,2008,144,1,-1,0,desconocido,no
43,gestion,casadx,primario,no,8167,si,no,telefono fijo,19,nov,2008,202,2,184,2,fallo,no
48,tecnico,casadx,universitario/terciario,no,0,no,no,telefono fijo,26,ago,2008,176,15,-1,0,desconocido,no
51,gestion,casadx,universitario/terciario,no,-15,no,no,celular,25,jul,2008,212,2,-1,0,desconocido,no
27,tecnico,solterx,universitario/terciario,no,372,si,si,celular,25,jul,2008,728,2,-1,0,desconocido,no
39,administrador,divorciadx/viudx,secundario,no,2610,no,no,desconocido,6,jun,2008,67,5,-1,0,desconocido,no
53,administrador,casadx,secundario,no,465,no,si,desconocido,12,may,2008,95,3,-1,0,desconocido,no
32,servicios,casadx,secundario,no,243,si,si,desconocido,6,may,2008,144,1,-1,0,desconocido,no
34,operarix,casadx,secundario,no,157,si,no,celular,11,jul,2008,254,2,-1,0,desconocido,no
33,tecnico,solterx,secundario,no,1769,si,no,celular,18,nov,2008,273,1,182,1,fallo,no
26,operarix,solterx,secundario,no,539,si,no,desconocido,2,jun,2008,599,2,-1,0,desconocido,no
59,gestion,casadx,universitario/terciario,no,1881,no,no,celular,19,nov,2008,456,2,-1,0,desconocido,no
33,desempleadx,casadx,secundario,no,456,no,no,telefono fijo,11,nov,2008,119,1,-1,0,desconocido,no
46,independiente,casadx,primario,no,2295,si,no,desconocido,11,jun,2008,138,1,-1,0,desconocido,no
44,operarix,casadx,primario,no,292,no,no,celular,31,jul,2008,99,4,-1,0,desconocido,no
49,operarix,solterx,primario,si,-2604,si,no,celular,18,nov,2008,142,1,-1,0,desconocido,no
41,empresarix,solterx,secundario,no,3216,no,no,desconocido,9,jun,2008,718,3,-1,0,desconocido,no
59,gestion,casadx,universitario/terciario,no,96,no,si,celular,8,jul,2008,55,1,-1,0,desconocido,no
40,servicios,casadx,secundario,no,1325,no,no,desconocido,11,jun,2008,150,2,-1,0,desconocido,no
40,gestion,casadx,universitario/terciario,no,196,si,no,celular,20,nov,2008,40,1,-1,0,desconocido,no
31,empresarix,solterx,universitario/terciario,no,247,si,si,desconocido,2,jun,2008,273,1,-1,0,desconocido,no
39,independiente,solterx,desconocido,no,0,no,no,desconocido,20,jun,2008,13,11,-1,0,desconocido,no
36,operarix,casadx,secundario,no,4438,si,no,desconocido,20,may,2008,446,1,-1,0,desconocido,no
34,gestion,casadx,universitario/terciario,no,46,no,no,celular,19,ago,2008,729,5,-1,0,desconocido,no
35,gestion,solterx,universitario/terciario,no,361,si,no,celular,11,ago,2008,169,2,-1,0,desconocido,no
46,empresarix,casadx,secundario,no,294,si,no,celular,17,jul,2008,228,1,-1,0,desconocido,no
32,servicios,casadx,secundario,no,1076,no,no,celular,15,jul,2008,353,3,-1,0,desconocido,no
43,gestion,casadx,universitario/terciario,no,1050,si,si,celular,18,jul,2008,67,11,-1,0,desconocido,no
37,tecnico,solterx,secundario,no,-59,si,no,celular,22,jul,2008,70,1,-1,0,desconocido,no
33,gestion,solterx,secundario,no,8004,no,no,celular,19,nov,2008,414,3,-1,0,desconocido,no
30,operarix,casadx,primario,no,-68,si,no,celular,25,jul,2008,394,2,-1,0,desconocido,no
32,administrador,divorciadx/viudx,secundario,no,-417,no,no,desconocido,30,may,2008,25,5,-1,0,desconocido,no
42,operarix,casadx,primario,no,321,si,no,desconocido,14,may,2008,147,3,-1,0,desconocido,no
30,independiente,casadx,universitario/terciario,no,1596,si,no,celular,19,ago,2008,195,2,-1,0,desconocido,no
40,administrador,casadx,universitario/terciario,no,0,si,no,desconocido,20,may,2008,88,2,-1,0,desconocido,no
35,desempleadx,casadx,secundario,no,1,si,no,celular,28,jul,2008,173,8,-1,0,desconocido,no
53,tecnico,divorciadx/viudx,secundario,no,320,no,no,celular,9,jul,2008,175,1,-1,0,desconocido,no
54,gestion,casadx,universitario/terciario,no,11246,no,no,celular,19,nov,2008,122,2,-1,0,desconocido,no
40,operarix,casadx,primario,no,640,si,si,desconocido,8,may,2008,347,2,-1,0,desconocido,no
40,servicios,casadx,secundario,no,105,si,no,celular,9,jul,2008,161,1,-1,0,desconocido,no
41,gestion,casadx,universitario/terciario,no,65,si,no,desconocido,6,may,2008,524,2,-1,0,desconocido,no
59,servicios,casadx,primario,no,4295,no,no,telefono fijo,29,jul,2008,129,3,-1,0,desconocido,no
35,servicios,casadx,secundario,no,-12,no,no,celular,31,jul,2008,83,4,-1,0,desconocido,no
