id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20429,Hermoso  y acogedor departamento.,77065,Marcelo,Constitucion,-34.62108,-58.38677,Entire home/apt,2093,15,0,,,1,90
21807,Comfortable apartment in San Telmo,83312,Graciela,San Telmo,-34.62225,-58.37239,Entire home/apt,2990,6,0,,,2,238
21816,Apartment at Faena Hotel,83130,Marce,Puerto Madero,-34.61407,-58.36187,Entire home/apt,10763,6,0,,,2,141
21837,Comfortable studio in Callao Avenue,80208,Olga,Monserrat,-34.60807,-58.37224,Entire home/apt,3588,3,0,,,1,365
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",94615,Nicola,Monserrat,-34.61495,-58.37319,Entire home/apt,2990,3,46,07-10-2019,0.49,1,44
24157,"Fun, Hip, Friendly San Telmo Loft",97165,Angela,San Telmo,-34.62057,-58.36765,Entire home/apt,2511,30,93,28-01-2018,0.83,6,364
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,San Nicolas,-34.6034,-58.37867,Entire home/apt,1794,1,328,21-11-2019,4.04,7,338
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,Chacarita,-34.58681,-58.44476,Entire home/apt,3528,10,32,08-11-2018,0.3,1,89
25876,Stylish & Comfortable Apartment,108864,Luis,San Nicolas,-34.59999,-58.37851,Entire home/apt,2392,3,221,04-11-2019,2.01,1,242
26258,Huge 473sqf Studio @ Palermo University area,111013,Daniel,Balvanera,-34.5991,-58.41053,Entire home/apt,2093,7,2,23-10-2013,0.02,2,362
26757,"Sunny Terrace, Cozy Loft, Sleeps 4 in San Telmo",97165,Angela,San Telmo,-34.62199,-58.36883,Entire home/apt,1913,3,79,18-11-2019,0.7,6,110
27562,Modern & comfortable apartment at best location,119120,Julieta,Palermo,-34.58095,-58.40461,Entire home/apt,3588,4,13,20-11-2019,0.13,3,46
27631,Apartment for rent in Recoleta,119446,Inés,Recoleta,-34.591,-58.39039,Entire home/apt,2930,2,93,10-11-2019,0.82,1,344
27991,One bedroom Apt on corner Corrientes and Araoz.,120567,Pablo,Villa Crespo,-34.59984,-58.43692,Entire home/apt,3289,10,32,01-05-2019,0.28,2,337
28244,Loft in Palermo Hollywood.Pool 617,119613,Marcos,Palermo,-34.57628,-58.43456,Entire home/apt,3767,5,22,01-08-2019,0.31,6,71
29421,Best Location Las Cañitas 1 Bed Apt,126458,Adriana,Palermo,-34.57066,-58.43211,Entire home/apt,2691,3,0,,,2,365
29983,Depto de 1 ambiente en Recoleta,129235,Carolina,Recoleta,-34.59925,-58.3908,Entire home/apt,4664,2,0,,,1,365
29990,"Funky & Stylish Apartment, Palermo",129245,Savas,Palermo,-34.58521,-58.42739,Entire home/apt,2930,3,154,26-07-2019,1.39,1,63
31469,Beautiful Home w/ Garden at Racetrack of Palermo,135120,Flor,Palermo,-34.56887,-58.4332,Entire home/apt,2272,1,11,09-11-2019,0.18,3,364
31514,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,Monserrat,-34.61555,-58.37612,Entire home/apt,4484,1,26,25-02-2018,0.24,12,349
31920,Beautifull apartment in Belgrano!,137373,Nancy,Belgrano,-34.56483,-58.46014,Entire home/apt,3588,30,0,,,1,365
35703,Charming studio in Palermo,150763,Viviana,Recoleta,-34.59103,-58.40781,Entire home/apt,2392,4,82,19-11-2019,0.78,1,316
37347,Palermo/Las Cañitas Apartment ,161327,Mariano,Palermo,-34.57185,-58.43286,Entire home/apt,2691,14,35,30-01-2019,0.33,12,339
41608,Palermo Soho Spectacular New Unit,181721,Yamila & Eyenit,Palermo,-34.58576,-58.42803,Entire home/apt,4484,2,113,29-09-2019,1.1,1,312
42450,French Classic in San Telmo: Balcony over Defensa!,185437,Grisel,Monserrat,-34.61544,-58.37258,Entire home/apt,5381,3,119,27-10-2019,1.2,2,165
45498,"Quite & Chic, fully equipped, 2Bd, pool & terrace",75891,Sergio,Palermo,-34.58284,-58.44206,Entire home/apt,4783,2,104,17-11-2019,0.93,3,169
46639,Rent Apart Palermo Buenos Aires 5px,209005,Flor,Palermo,-34.58861,-58.41647,Entire home/apt,5082,3,7,04-11-2018,0.11,4,339
48089,Recoleta Classic French-Style 2BDR,192475,Chris,Recoleta,-34.58676,-58.38854,Entire home/apt,4484,7,100,06-11-2019,0.9,1,357
48527,French style apartment in Recoleta ,221661,Ricardo,Recoleta,-34.58543,-58.39637,Entire home/apt,7653,3,1,07-01-2014,0.01,2,365
48535,Elegant apartment in downtown Bs.As,221044,Florencia,Retiro,-34.59456,-58.37503,Entire home/apt,2990,90,0,,,1,364
48678,Grate & Luxury apartment Recoleta ,221661,Ricardo,Recoleta,-34.58722,-58.39676,Private room,7653,3,1,30-12-2010,0.01,2,365
50778,Gorgeous 2bdrm in Awesome Recoleta,233651,Cameron,Recoleta,-34.59072,-58.40064,Entire home/apt,2691,5,92,28-10-2019,0.83,6,172
52115,Little & beautifull Recoleta apt.,240731,Cecilia,Recoleta,-34.59544,-58.39319,Entire home/apt,3588,5,1,30-01-2019,0.1,2,35
52511,San Telmo Apartment (Buenos Aires),242939,Gri,Monserrat,-34.60886,-58.37349,Entire home/apt,4185,4,0,,,1,365
53097,Duplex 6 (2 rooms) in San Telmo,64880,Elbio Mariano,Monserrat,-34.61405,-58.37444,Entire home/apt,3588,1,36,29-10-2019,0.33,12,342
53905,Trendy studio in Villa Crespo!,252182,Victoria,Villa Crespo,-34.59814,-58.43858,Entire home/apt,2212,3,75,23-08-2019,0.68,1,329
58778,❤️Amazing View!  1 Bedroom  Studio - UNO22❤️,281041,Michael,Palermo,-34.58233,-58.42309,Entire home/apt,7474,1,25,23-03-2019,0.26,3,364
58789,❤️Best view in BA! 1 Bedroom Studio -UNO21❤️,281041,Michael,Palermo,-34.58233,-58.42509,Entire home/apt,7474,1,22,23-04-2019,0.21,3,364
61282,Loft with Balcony in Belgrano,296398,Alejandro,Nuñez,-34.55364,-58.4673,Entire home/apt,2212,3,135,17-11-2019,1.24,1,343
61882,Private Room in Buenos Aires City Center,122080,Catherine,San Nicolas,-34.60142,-58.37094,Private room,1614,3,9,17-06-2015,0.08,7,365
65446,Luxury Premier Loft with Breathtaking Views  ★★★★★,319901,Ralf,Palermo,-34.58092,-58.42515,Entire home/apt,7175,2,153,08-11-2019,1.52,33,268
65513,Comfortable apartment for 5 in BsAs,320183,Hortensia,Retiro,-34.59811,-58.37779,Entire home/apt,6577,10,5,12-10-2018,0.06,4,237
65519,Great Apartment in Las Cañitas (Palermo) for 5,320183,Hortensia,Palermo,-34.57004,-58.43118,Entire home/apt,7773,5,11,30-09-2019,0.15,4,326
66939,"★ Instaworthy Views, 20th Floor ★ Pool+Gym+Sauna",319901,Ralf,Palermo,-34.58246,-58.42442,Entire home/apt,5262,2,249,03-11-2019,2.48,33,300
66940,Pool Party studio +  Views over the Pool  ❤,319901,Ralf,Palermo,-34.58251,-58.42322,Entire home/apt,4783,2,214,03-11-2019,2.26,33,301
68173,"Best Area in Palermo, Luxury Studio",31299,Dave,Palermo,-34.57977,-58.42945,Entire home/apt,3049,5,78,07-10-2019,0.74,5,240
68489,Best Block in Palermo Hollywood,31299,Dave,Palermo,-34.58021,-58.43133,Entire home/apt,4425,3,140,19-11-2019,1.32,5,283
68800,Recoleta con pileta y parilla.  Pet Friendly,221405,Ximena,Recoleta,-34.5931,-58.38844,Entire home/apt,22721,2,74,31-08-2019,0.88,1,267
68868,"Luxury Sky Loft , Dream View Apartment ★★★★★",319901,Ralf,Palermo,-34.5814,-58.4251,Entire home/apt,7175,2,228,07-11-2019,2.23,33,317
69063,"Beautiful, great location, quiet, Nespresso.",344599,Danilo,Recoleta,-34.59429,-58.39778,Entire home/apt,2272,1,181,13-11-2019,1.89,2,350
69086,Little Duplex Loft (1) San Telmo,64880,Elbio Mariano,Monserrat,-34.61584,-58.37602,Entire home/apt,2392,1,34,16-10-2019,0.41,12,336
69880,"Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood",315089,Max,Palermo,-34.57732,-58.43892,Entire home/apt,7175,5,24,28-02-2017,0.23,8,349
70082,High category appartment Belgrano,353823,Maria De Los Angeles,Palermo,-34.56928,-58.44377,Entire home/apt,2691,5,38,25-06-2019,0.36,1,58
71801,Studio in Recoleta most secure area,368954,Carlos,Recoleta,-34.59591,-58.39931,Entire home/apt,4185,3,90,15-11-2019,0.85,1,347
72204,Beautiful house in Palermo SOHO,373629,Daniel,Palermo,-34.58902,-58.42926,Entire home/apt,21645,3,20,01-11-2019,0.41,15,148
73180,Palermo Apt - Las Cañitas area,161327,Mariano,Palermo,-34.5731,-58.43346,Entire home/apt,2691,28,25,20-04-2019,0.27,12,350
74383,Spectacular Penthouse 2BR with River &Sunrise view,319901,Ralf,Palermo,-34.58632,-58.43241,Entire home/apt,13154,2,46,16-11-2019,0.46,33,265
75094,Amazing apartment in Recoleta,161327,Mariano,Recoleta,-34.58875,-58.39603,Entire home/apt,2691,25,113,06-11-2019,1.06,12,84
75492,Studio Loft in Palermo Soho #1,400828,Jony,Palermo,-34.58817,-58.42003,Entire home/apt,2870,2,302,21-11-2019,3.14,3,311
75526,GUAPO / Amazing Large Studio* with great views.,319901,Ralf,Palermo,-34.58256,-58.42523,Entire home/apt,4185,2,95,12-09-2019,0.93,33,325
76005,"Heart of Recoleta, no better place!",315089,Max,Recoleta,-34.5891,-58.39269,Entire home/apt,2392,5,6,17-08-2013,0.06,8,365
76385,Studio In Downtown Buenos Aires,407702,Ruy,Monserrat,-34.61365,-58.3849,Entire home/apt,2691,2,320,03-11-2019,3.02,7,348
77024,Recoleta feliz Juncal 1360 2C,411077,Luz,Retiro,-34.5916,-58.38571,Entire home/apt,2990,3,21,17-09-2019,0.2,9,351
77404,Beautiful Duplex - Trendy Palermo,161327,Mariano,Palermo,-34.56765,-58.43216,Entire home/apt,3049,20,18,05-10-2018,0.19,12,363
77704,PALERMO SOHO Cheap Little Apt,417020,Jorge Fernando,Palermo,-34.58107,-58.42602,Entire home/apt,2571,7,116,16-11-2019,1.14,1,267
77752,#Nice Sunny Studio  FAST WiFI 10MB with Balcony!,417090,Mateo,Recoleta,-34.59069,-58.39359,Entire home/apt,2392,1,188,21-10-2019,1.78,16,238
77776,"BUENOS AIRES, RECOLETA, 2 BEDROOM APT",417598,Rd,Recoleta,-34.59002,-58.40479,Entire home/apt,4484,2,0,,,1,362
77860,Private room with balcony with view,402373,Daniel,Palermo,-34.57269,-58.43395,Private room,3588,2,0,,,1,365
77942,Great room in Alto Palermo area,418692,Juliana,San Cristobal,-34.62364,-58.39976,Private room,2990,1,1,31-01-2012,0.01,1,0
77994,Studio 1A - Corazon de San Telmo,64880,Elbio Mariano,San Telmo,-34.62128,-58.37332,Entire home/apt,3588,2,5,03-08-2019,0.05,12,342
78005,"SOFA STUDIO, SAN TELMO, 1B",64880,Elbio Mariano,San Telmo,-34.61952,-58.37123,Entire home/apt,2990,2,15,22-08-2019,0.15,12,356
78009,STUDIO DEFENSA 2A en San Telmo,64880,Elbio Mariano,San Telmo,-34.61914,-58.37239,Entire home/apt,4185,2,40,22-07-2019,0.38,12,344
78014,STUDIO SOFA CAMA & PATIO,64880,Elbio Mariano,San Telmo,-34.62025,-58.37252,Entire home/apt,2392,2,24,13-05-2019,0.24,12,361
78068,Lovely Place at a GREAT Location!,419383,Mariana Y Sebas,Palermo,-34.58288,-58.40535,Entire home/apt,2093,3,18,30-08-2018,0.17,9,339
78351,"Apt in Palermo, Las Cañitas",420786,Carola,Palermo,-34.57521,-58.42883,Entire home/apt,3707,5,8,17-09-2019,0.1,4,344
78685,Luminous Palermo 1BDR Apartment,419383,Mariana Y Sebas,Palermo,-34.58332,-58.40643,Entire home/apt,2810,2,36,12-05-2019,0.35,9,331
78703,Amazing Studio with Terrace & BBQ,422878,Oscar,Recoleta,-34.59477,-58.39501,Entire home/apt,2870,1,188,18-11-2019,1.95,2,278
79226,Petite Home,426420,Carolina,Nuñez,-34.5522,-58.45802,Entire home/apt,2332,6,38,14-07-2019,0.39,1,327
79247,"Beautiful Apt in great location, 100% Good Reviews",426566,Egle,Almagro,-34.61964,-58.41766,Entire home/apt,1375,5,41,18-07-2019,0.39,8,313
79766,Cozy 1Bdr Great Terrace! sun/view!!,422878,Oscar,Recoleta,-34.59034,-58.39767,Entire home/apt,3887,1,169,15-11-2019,1.83,2,284
82623,GARDEN STUDIO FLAT w/swimming pool,449610,Antonio,Colegiales,-34.57361,-58.45238,Entire home/apt,1614,5,41,30-09-2019,0.83,1,260
83035,"Central loc. Entire apt, all incl.",426566,Egle,Boedo,-34.62107,-58.41608,Entire home/apt,1913,5,43,31-08-2019,0.41,8,85
83152,★ Budda Lounge - Dream View Studio ★,319901,Ralf,Palermo,-34.58064,-58.42367,Entire home/apt,4783,2,87,11-11-2019,0.84,33,294
83440,GREAT! Apartment Alto Palermo,384997,Santiago,Palermo,-34.59222,-58.41285,Entire home/apt,5979,30,4,16-01-2019,0.04,1,335
84033,Great apart with private terrace & chill out area.,458852,Maria,Palermo,-34.586,-58.42534,Entire home/apt,3588,2,134,09-11-2019,1.29,2,278
84730,"Spotless apt. in a great location, Wi-Fi, balcony!",426566,Egle,Almagro,-34.62099,-58.41753,Entire home/apt,1315,5,62,10-11-2019,0.65,8,317
84986,"Gorgeous Palermo, Buenos Aires, flatshare.",454822,D. / Lola,Palermo,-34.57269,-58.41869,Private room,837,5,56,30-09-2019,0.54,2,79
85949,Modern & Luminous Apt in GreatLocation!,426566,Egle,Almagro,-34.62007,-58.41728,Entire home/apt,1256,5,34,08-10-2019,0.34,8,342
87828,ein Gast allein,480785,Isabel,Retiro,-34.59278,-58.38196,Private room,538,3,1,02-08-2019,0.26,2,88
89374,☼ Sunny   1 bedroom + balcony with views,319901,Ralf,Recoleta,-34.59307,-58.40337,Entire home/apt,4484,3,52,19-11-2019,0.54,33,275
89857,Sunny apartment in Buenos Aires,488300,Mariano,Balvanera,-34.60236,-58.39291,Entire home/apt,3588,7,0,,,1,364
91063,"Cosy, central apartment in BsAs",492560,Laurence,Caballito,-34.61842,-58.43194,Entire home/apt,3468,3,54,21-06-2019,0.55,1,315
92228,Depto.en Recoleta-Buenos Aires,494027,Mirta Susana,Recoleta,-34.58556,-58.40495,Entire home/apt,3588,4,0,,,2,364
92689,Stunning 1BD w/terrace in Palermo,488973,Casilda Maria,Palermo,-34.57682,-58.40062,Entire home/apt,4783,2,96,16-10-2019,0.94,2,0
93174,"B&B ""Tucuman 2430""1 room x 1 or 2p",500210,Luciano,Balvanera,-34.60193,-58.40109,Private room,1016,2,10,07-04-2019,0.1,4,365
93619,DEPARTMENT C / CABIN SECURITY,501789,Jessica Emerita,San Cristobal,-34.62583,-58.40795,Shared room,4185,1,0,,,1,365
94830,Sophisticated Flat in Palermo,505796,Sunshine,Palermo,-34.57509,-58.41869,Entire home/apt,1674,5,7,18-02-2019,0.15,1,365
96103,ROOM PALERMO best location in BA,510708,Alexia,Palermo,-34.58187,-58.43543,Private room,1315,5,56,16-11-2019,0.56,1,122
96257,Lovely apartment in Buenos Aires,320183,Hortensia,Retiro,-34.5981,-58.37775,Entire home/apt,4185,15,0,,,4,84
96490,AMPLIA habitación individual en Buenos Aires,512049,Cristina,Palermo,-34.58405,-58.41106,Private room,1076,6,0,,,1,334
96810,Recoleta Luxury: Design and Style!,508291,Enzo,Retiro,-34.59323,-58.3867,Entire home/apt,3887,3,33,17-10-2019,0.49,1,309
97043,Downtown 4 blocks away from Obelisk,514200,Ceferina De Jesus,San Nicolas,-34.60517,-58.3884,Entire home/apt,2153,28,9,25-11-2013,0.1,2,328
98934,Monthly Apartment Recoleta,521351,Alfonsina,Recoleta,-34.5899,-58.39027,Entire home/apt,4185,1,1,09-08-2011,0.01,1,365
99362,Depto Recoleta 3 dormitorios. Balcon y Wifi,417090,Mateo,Recoleta,-34.59328,-58.39443,Entire home/apt,3588,9,15,04-07-2019,0.16,16,365
100080,Great downtown apartment!,526435,Laura,San Nicolas,-34.60319,-58.38805,Entire home/apt,1913,3,23,30-07-2019,0.27,2,160
100930,Great location! 1 block from/Abasto Mall,529562,Nila,Balvanera,-34.60475,-58.4093,Entire home/apt,2990,1,2,01-08-2011,0.02,1,331
104343,Faena Hotel Stunning Views Private Luxury  Suite*,542973,Brigitte,Puerto Madero,-34.60126,-58.35488,Hotel room,6637,1,139,17-11-2019,1.43,1,300
106475,Artdecohouse Palermo,547581,Carol,Recoleta,-34.59045,-58.40926,Entire home/apt,9567,3,109,13-07-2019,1.09,1,352
107220,Great Private Room!,555337,Anita & Sofía,Almagro,-34.59828,-58.41283,Private room,837,7,5,19-01-2014,0.05,2,365
107259,Great place to 12 Tango lovers,555693,Vittoria,Balvanera,-34.60485,-58.39448,Entire home/apt,23857,3,26,13-03-2019,0.29,2,356
108089,AMAZING PALERMO BEST VALUE w POOL,559463,Martin,Palermo,-34.58643,-58.4242,Entire home/apt,2212,3,73,25-08-2019,0.94,5,214
108284,Historico y Luminoso Duplex Centro!,560338,Carlos,San Nicolas,-34.6019,-58.37736,Entire home/apt,3289,2,229,28-10-2019,2.35,26,272
111501,Beautiful Apartment Palermo Vip Great location,570921,Emilce,Palermo,-34.57808,-58.41184,Entire home/apt,3289,3,118,12-11-2019,1.17,2,294
111934,Bright Studio at Palermo Soho,570921,Emilce,Palermo,-34.58156,-58.42862,Entire home/apt,2033,3,101,22-04-2019,0.97,2,308
115735,Premium Asian Loft in Buenos Aires,513930,Carlos Alberto,Palermo,-34.59046,-58.43516,Entire home/apt,1555,14,43,18-10-2019,0.44,2,273
117548,"Palermo, Buenos Aires: Complete flat: ""Alma Mia"".",454822,D. / Lola,Palermo,-34.57247,-58.41936,Entire home/apt,3289,56,0,,,2,236
118069,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,Palermo,-34.58014,-58.43209,Entire home/apt,5381,2,17,06-09-2019,0.18,24,346
118070,Amazing view - GREAT Studio - Balcony,530261,Luciano,Palermo,-34.58533,-58.42802,Entire home/apt,4783,3,40,09-11-2019,0.41,24,339
118724,Department to 5 min to city centre,599519,Angel Francisco,Almagro,-34.6,-58.43025,Private room,2870,1,0,,,1,365
119036,Amazing duplex in Recoleta,601227,Frederic,Recoleta,-34.59078,-58.39751,Entire home/apt,2392,5,1,16-09-2019,0.42,2,364
119966,Room with library downtown,62183,Sonia,Balvanera,-34.60564,-58.3994,Private room,2093,3,0,,,2,365
120874,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,Recoleta,-34.5911,-58.39978,Entire home/apt,5979,2,9,10-11-2017,0.09,24,236
122328,Urban Mexican Apart in Buenos Aires,513930,Carlos Alberto,Palermo,-34.58843,-58.43585,Entire home/apt,2990,14,28,08-07-2019,0.29,2,145
122907,Spotless entire apt. Ideal location,426566,Egle,Almagro,-34.61879,-58.41556,Entire home/apt,1794,7,15,02-10-2019,0.15,8,329
125123,Beautiful room in Ap. near palermo,622759,Barbara,Colegiales,-34.57353,-58.45365,Private room,1076,3,3,01-09-2015,0.04,2,364
127822,"Barrancas Home, in Belgrano. Sunny full apartment.",632638,Mima,Belgrano,-34.56286,-58.4543,Entire home/apt,29896,2,8,13-01-2018,0.22,3,89
129009,Tango Studio:Charming private room,637123,CristianyMichaela,Constitucion,-34.62971,-58.38103,Private room,1794,5,15,03-05-2019,0.15,2,364
129681,Studio Rojo Design Belgrano - 2 Pax,638545,Luisa,Belgrano,-34.55673,-58.45676,Entire home/apt,2691,5,14,11-08-2018,0.19,3,70
129900,Barrancas Home: Nice room + priv. bath sing/dbl,632638,Mima,Belgrano,-34.56098,-58.45442,Private room,1495,2,22,07-12-2018,0.59,3,89
129932,Palermo View Studio at Palermo Uno Tower,319901,Ralf,Palermo,-34.58264,-58.42451,Entire home/apt,4783,2,108,20-10-2019,1.06,33,310
130248,Small charmy and fully at Palermo,641573,Paula,Palermo,-34.57693,-58.41193,Entire home/apt,1674,2,66,20-04-2019,0.81,7,318
130275,Van Gogh s apart at Palermo,641573,Paula,Palermo,-34.57675,-58.41068,Entire home/apt,2212,2,14,03-06-2019,0.18,7,336
130349,"alquilo por noche,o semana",641884,Marcelo,San Nicolas,-34.60462,-58.37764,Private room,5979,1,0,,,1,365
130424,Palermo Holly New Studio Apt - 4th floor - 33 m2,642182,Aike,Palermo,-34.57935,-58.43484,Entire home/apt,3229,3,9,31-12-2012,0.09,2,177
131145,DONDE VIVI (1) Rooms for Rent .,645495,Viviana,Almagro,-34.60818,-58.41911,Private room,1196,3,38,30-09-2018,0.37,2,146
131807,"Belgrano R, Private Room, Sunny ",648231,Vero,Villa Ortuzar,-34.5771,-58.4694,Private room,2093,1,0,,,1,365
132298,Urban Escape ★ Studio with great views,319901,Ralf,Recoleta,-34.59307,-58.40359,Entire home/apt,3887,2,112,13-10-2019,1.13,33,333
133043,Great Studio - Roof top Pool,530261,Luciano,Recoleta,-34.59211,-58.40163,Entire home/apt,4185,3,15,02-04-2018,0.22,24,364
133654,Modern and Comfortable. Central location.Fast WiFi,426566,Egle,Almagro,-34.61943,-58.41566,Entire home/apt,1375,4,36,12-10-2019,0.35,8,356
136986,Buena Vista - Panorama Riverviews ★★★★★,319901,Ralf,Palermo,-34.58092,-58.42483,Entire home/apt,7175,2,128,06-11-2019,1.26,33,231
137017,Soho Sunset studio  with amazing views.,319901,Ralf,Palermo,-34.58286,-58.42388,Entire home/apt,5381,2,181,04-11-2019,1.82,33,312
138690,Art Studio Hidden in the Quietest part of Recoleta,676972,Fabiana,Recoleta,-34.59092,-58.39503,Entire home/apt,2571,2,232,27-09-2019,2.27,10,178
140142,Great 2 Bedroom/2 Bath Recoleta!,530261,Luciano,Recoleta,-34.59327,-58.39631,Entire home/apt,9268,2,27,13-10-2019,0.28,24,314
140271,"Boedo, quiet wooded neighborhood",683383,Lorena,Boedo,-34.6317,-58.41718,Private room,2990,1,0,,,1,365
143173,HabitacionPrivate Rooms in Congreso,499278,Nicolas,Balvanera,-34.60735,-58.4029,Private room,1794,5,0,,,2,365
143211,Nice and bright studio in Recoleta,695054,Patricia,Recoleta,-34.58769,-58.3999,Entire home/apt,1196,2,3,14-10-2019,0.08,3,122
143663,Apartement Buenos Aires,696693,Marcela,Monserrat,-34.61297,-58.38701,Entire home/apt,2691,3,0,,,1,328
144192,Beautiful apartment in Buenos Aires,698994,Ruben,Nueva Pompeya,-34.64889,-58.40792,Private room,2990,1,0,,,1,365
144827,LEMON TREE ★ 1 bedroom with great views,319901,Ralf,Recoleta,-34.59468,-58.40493,Entire home/apt,5381,2,42,11-05-2019,0.43,33,280
146648,❤  Large  Sunset View Studio with balcony❤11 floor,319901,Ralf,Recoleta,-34.59435,-58.40521,Entire home/apt,3588,3,101,24-07-2019,1,33,336
148284,Sunny Terrace Apart. in Downtown BA,407702,Ruy,Monserrat,-34.61348,-58.38326,Entire home/apt,2511,2,258,17-11-2019,2.53,7,351
150594,Departamento Parque chacabuco,716702,Eugenia,Parque Chacabuco,-34.63438,-58.44546,Private room,9208,7,0,,,1,365
152044,Charming 2BRApt in Upscale Recoleta,731684,Irma,Recoleta,-34.5841,-58.39924,Entire home/apt,2990,2,66,14-04-2018,0.65,1,0
153878,"Recoleta's Core for 7, 3 Bedms, 84 sqm, Sun, Quiet",739895,Chelo,Recoleta,-34.5894,-58.38851,Entire home/apt,3946,2,63,01-10-2019,0.63,2,323
154427,Spotless apt. in a Great location. 100% Equipped.,426566,Egle,Almagro,-34.62013,-58.41686,Entire home/apt,1256,4,56,01-10-2019,0.57,8,315
154548,Central to Everything,576398,Florencia,Recoleta,-34.59634,-58.40592,Entire home/apt,3289,2,408,24-11-2019,4.25,2,158
