id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
Mqpo1Prta+EmR6yrGU05MQ==,Propiedad,2019-10-13,2019-11-18,2019-10-13,-34.5305659,-58.48745400000001,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Florida,,,2.0,,1.0,105.0,63.0,Mensual,Solid PH en venta en Florida Vicente Lopez de 2 ambs,paga
s4kFXRtr7eDYo+M+GAseAQ==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.7112536223,-58.385513948,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,,,,4.0,3.0,2.0,,,,Departamento Tipo Casa en Venta en Lanus Este,no paga
bqLM3vr9m/9Y5TXxYAUyrg==,Propiedad,2019-12-18,9999-12-31,2019-12-18,,,Argentina,Capital Federal,,,,,,5.0,6.0,,,,Barrio palihue !!!!!!,paga
byVnyUOPrZKbAM8sg4sNdA==,Propiedad,2020-07-07,9999-12-31,2020-07-07,-38.0072047,-57.5896084,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,4.0,3.0,1.0,,,,Venta Casa,no paga
mHnGMqLU3hvfJmcDlyeYYQ==,Propiedad,2020-07-01,2020-09-15,2020-07-01,-37.930505100000005,-57.5494779,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,4.0,3.0,2.0,,,,CASA EN RUMENCO 340.000 DLS,paga
si9jIfDsDRh9Yp8FkbeChQ==,Propiedad,2020-03-14,9999-12-31,2020-03-14,-34.6074961,-58.5119881,Argentina,Capital Federal,Villa Devoto,,,,,3.0,1.0,110.0,88.0,,4 Amb. con cochera y 2 patios sin expensas,paga
336iMwEESQmcJPb7ZQX/Kg==,Propiedad,2020-03-08,2020-03-15,2020-03-08,-34.5898454123,-58.423169096,Argentina,Capital Federal,Palermo,,,,4.0,3.0,3.0,142.0,142.0,,Depto.tipo casa de 4 ambientes en Venta en Palermo,paga
0LG62T2kqeKjieYsaebSsg==,Propiedad,2020-08-20,9999-12-31,2020-08-20,-36.538859499999994,-56.700468900000004,Argentina,Buenos Aires Costa Atlántica,Santa Teresita,,,,3.0,2.0,2.0,,,,Santa Teresita. Amplio Duplex En Zona Residencial!!!,no paga
EpPunrJt+BXUXU8Qks9TQQ==,Propiedad,2020-09-01,2020-09-04,2020-09-01,-34.8840083,-58.068770799999996,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,City Bell,,,,2.0,2.0,115.0,80.0,Mensual,459 entre 28 y 28 bis,no paga
OB6bPkdqbAmQ5V/l8CSB4Q==,Propiedad,2020-03-03,9999-12-31,2020-03-03,-34.7022234,-58.319166599999996,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Wilde,,,,2.0,2.0,92.0,203.0,,VENTA DE PH EN WILDE,no paga
8XRbGhqNW5JQmss2wC4Q3Q==,Propiedad,2020-03-20,2020-04-03,2020-03-20,-34.617826,-58.415555299999994,Argentina,Capital Federal,Almagro,,,,6.0,5.0,2.0,160.0,160.0,,Depto.tipo casa de 6 ambientes en Venta en Almagro,paga
5YjZzxUU0zcNjNCo7FcDTw==,Propiedad,2020-07-09,9999-12-31,2020-07-09,-31.3511393,-64.2505214,Argentina,Córdoba,Córdoba,,,,3.0,,3.0,,182.0,,Villa Belgrano triplex de categoria en exc ubicacion,paga
KlV7Vj7/0DXBRBdK/tAIRA==,Propiedad,2019-11-25,2020-01-21,2019-11-25,-34.632002,-58.412429,Argentina,Capital Federal,Parque Patricios,,,,4.0,3.0,1.0,112.0,87.0,,PH 3 AMB CONVERTIDO EN 4 CON PATIO Y TERRAZA.VENTA,paga
kIPPrjcm0OFbW1hkmabDCA==,Propiedad,2019-10-29,2019-11-13,2019-10-29,-34.61261629999999,-58.471484100000005,Argentina,Capital Federal,Paternal,,,,5.0,4.0,2.0,140.0,140.0,Mensual,Depto.tipo casa de 5 ambientes en Venta en Paternal,paga
tmgkkYcxoC6nqhUDIPwnhw==,Propiedad,2020-08-04,9999-12-31,2020-08-04,-34.6605501,-58.51122420000001,Argentina,Capital Federal,Mataderos,,,,,,,,,,TIPO CASA  DE 4 AMBIENTES AL FRENTE. REMODELADO A NUEVO,paga
tA35MKCKMPwJgicTm4ZTFw==,Propiedad,2020-01-23,2020-01-24,2020-01-23,-34.631989000000004,-58.52841899999999,Argentina,Capital Federal,Versalles,,,,4.0,,,140.0,,,Venta PH en Versailles Capital Federal Cuzco  600,paga
GwiBtw9pjVieIqvVR8gw+A==,Propiedad,2019-08-31,2020-10-03,2019-08-31,-34.619357,-58.523357,Argentina,Capital Federal,Villa Real,,,,4.0,3.0,2.0,130.0,120.0,,PH EN VENTA DE 4 AMBIENTES CON COCHERA A ESTRENAR,paga
BQbwAr7I5m08WgXsn+eKYQ==,Propiedad,2019-09-21,2019-10-12,2019-09-21,-34.594931700000004,-58.426881099999996,Argentina,Capital Federal,Palermo,,,,4.0,3.0,1.0,77.0,77.0,,Depto.tipo casa de 4 ambientes en Venta en Palermo,paga
wzq5MeYegJLHoC10rvOk2g==,Propiedad,2020-06-29,2020-10-16,2020-06-29,-31.3147395,-64.4653409,Argentina,Córdoba,Bialet Massé,,,,4.0,2.0,1.0,,,,Rebajada! Casa en Bialet Masse. Frente a  Plaza.,no paga
yETvqxQy+Q+/RwxXwVI7Bg==,Propiedad,2020-06-19,9999-12-31,2020-06-19,,,Argentina,Santa Fe,Rosario,,,,5.0,3.0,2.0,,,,VENDO CASA Fisherton - Amplia Luminosa -Con patio,no paga
TvVRcDo2H7gz1qTv3kvvKA==,Propiedad,2020-08-12,9999-12-31,2020-08-12,-34.655578799999994,-58.64822579999999,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,,,,2.0,1.0,1.0,,,,Casa PH en Venta en Castelar,no paga
cv946UDLBbnSz/MPumYBZA==,Propiedad,2020-05-08,2020-10-19,2020-05-08,,,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,La Plata,,,2.0,1.0,2.0,,,,Venta de Departamento 1 DORMITORIO en La Plata.,no paga
yCPeW/TJighcB8vaoNc/jA==,Propiedad,2020-08-30,2020-10-03,2020-08-30,-34.572753000000006,-58.497040000000005,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,70.0,46.0,,Venta Ph 2 amb a estrenar.Villa Urquiza. Con patio,no paga
1Ed9xk0IC23jM72ciaFuqQ==,Propiedad,2020-07-08,2020-10-03,2020-07-08,-34.599824100000006,-58.393207999999994,Argentina,Capital Federal,Barrio Norte,,,,2.0,1.0,1.0,57.0,47.0,Mensual,PH - Barrio Norte,no paga
Qgs/YOX/CEkkFB0rbyPJsA==,Propiedad,2020-06-23,9999-12-31,2020-06-23,-34.639334000000005,-58.447738,Argentina,Capital Federal,Parque Chacabuco,,,,4.0,3.0,1.0,,,,PH 4 ambientes con patio y terraza,no paga
XZDACQQtWz3BIFvxEQIgHg==,Propiedad,2019-12-12,2019-12-23,2019-12-12,,,Argentina,Capital Federal,Caballito,,,,6.0,5.0,2.0,145.0,95.0,,PH 6 AMBIENTES PATIO TERRAZA PARRILLA CABALLITO,no paga
71lFLuEONyuVMlz/C+pb/g==,Propiedad,2020-01-27,2020-02-11,2020-01-27,-34.61261629999999,-58.471484100000005,Argentina,Capital Federal,Paternal,,,,5.0,4.0,2.0,140.0,140.0,,Depto.tipo casa de 5 ambientes en Venta en Paternal,paga
KVTNBRIqCsvw+ZogNXN5GA==,Propiedad,2020-03-10,9999-12-31,2020-03-10,-38.017782700000005,-57.56170039999999,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,2.0,,,,U$S 115.000 PH 3 AMBIENTES CHAUVIN,no paga
qEvAODS2dwAWU4zKhfyHJQ==,Propiedad,2020-07-07,9999-12-31,2020-07-07,,,Argentina,Santa Fe,Rosario,,,,4.0,2.0,1.0,,,,Se vende casa 2 dormitorios - en tierra de sueños puerto san martin,no paga
QvfdnqL2Wq6IwY1/60OOhg==,Propiedad,2019-10-31,2019-11-15,2019-10-31,-34.5983697228,-58.4329126703,Argentina,Capital Federal,Villa Crespo,,,,3.0,2.0,1.0,101.0,101.0,,Depto.tipo casa de 3 ambientes en Venta en Villa crespo,paga
g5I/TQi7nA/dnK4vPqZeaQ==,Propiedad,2019-10-26,2019-11-09,2019-10-26,-34.6020458,-58.4439422,Argentina,Capital Federal,Paternal,,,,5.0,4.0,2.0,149.0,149.0,,Depto.tipo casa de 5 ambientes en Venta en Paternal,paga
qZKWqs+hs7TzrFTo1MAdkw==,Propiedad,2020-04-08,9999-12-31,2020-04-08,-34.7266456264,-58.245968556099996,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,2.0,1.0,1.0,,,,Casa PH en Venta Cond en Quilmes Este,no paga
2ee9abUkvrWff0GxokrLEA==,Propiedad,2020-06-17,2020-06-20,2020-06-17,-34.5932724106,-58.436995606800004,Argentina,Capital Federal,Palermo,,,,4.0,3.0,1.0,300.0,165.0,Mensual,Depto.tipo casa de 4 ambientes en Venta en Palermo,paga
klhKunZ3RNFEOhr+b8Mi2A==,Propiedad,2020-02-17,2020-02-28,2020-02-17,-34.64138,-58.52650799999999,Argentina,Capital Federal,Liniers,,,,3.0,,,55.0,,,Venta PH en Liniers Capital Federal Ibarrola 7100,no paga
9Kebl+p7Hs/EvK7xW3M8dg==,Propiedad,2019-11-14,2020-01-01,2019-11-14,-34.521793,-58.494437,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Olivos,,,2.0,1.0,1.0,72.0,51.0,,PH VENTA  2 AMBIENTES PATIO TERRAZA OLIVOS IMPECAB,no paga
nbVP6Y3NFHb4I5ZrP2aMYw==,Propiedad,2020-03-05,2020-06-12,2020-03-05,-34.6442078,-58.68365920000001,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,,,,3.0,2.0,1.0,89.0,89.0,Mensual,Duplex 3 ambientes en venta - Ituzaingó,no paga
64bSh5jJV+rk0h+3fiUKBQ==,Propiedad,2019-08-11,2019-10-21,2019-08-11,-34.943432754899995,-57.956933132799996,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,La Plata,,,3.0,,1.0,80.0,80.0,Mensual,PH - La Plata,no paga
HJiwMz1TvZrqNUaP7kWpdw==,Propiedad,2020-06-30,9999-12-31,2020-06-30,-34.56684,-58.46451999999999,Argentina,Capital Federal,Belgrano,,,,2.0,,3.0,,,,"Departamento PH  en Venta ubicado en Belgrano R, Capital Federal",paga
Z6eoQHSxiqPZVpMxW830cg==,Propiedad,2020-02-04,9999-12-31,2020-02-04,,,Argentina,Capital Federal,,,,,4.0,3.0,1.0,,,,PH,no paga
Tr2MGStsrQVPJVL0a8K4IA==,Propiedad,2020-03-10,9999-12-31,2020-03-10,-31.361319,-64.3457336,Argentina,Córdoba,La Calera,,,,4.0,,,125.0,,Mensual,Ph venta,no paga
+VGR1kccOgypwPQv0m/oVA==,Propiedad,2019-12-07,2019-12-22,2019-12-07,-34.6056829,-58.408354,Argentina,Capital Federal,Abasto,,,,6.0,5.0,2.0,116.0,116.0,,Depto.tipo casa de 6 ambientes en Venta en Abasto,paga
9lOQIvEpPH/fn6VDOawhSA==,Propiedad,2020-03-07,9999-12-31,2020-03-07,-31.453642600000002,-64.1500417,Argentina,Córdoba,Córdoba,,,,3.0,,3.0,,160.0,,"B° Claros del Bosque, Hermoso Duplex a estrenar",no paga
JVV04YUTKwRkQhnoSf1jKA==,Propiedad,2020-01-23,9999-12-31,2020-01-23,-34.7004922,,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Tapiales,,,4.0,3.0,2.0,,,,Venta Triplex de 4 Amb. - Tapiales,no paga
AG1UJCx77ZBnU++p11lsFQ==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.5861639925,-58.5643467046,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,,,,3.0,2.0,1.0,,,,Casa PH en Venta en Villa Libertad,no paga
6AhYU2vx7DM2f/FbLuVT0g==,Propiedad,2019-10-29,2020-10-14,2019-10-29,-34.5978846,-58.49138789999999,Argentina,Capital Federal,Villa del Parque,,,,2.0,1.0,1.0,100.0,50.0,,LUMINOSO PH A REFACCIONAR CON ESPECTACULAR TERRAZA,no paga
VlV9Bkut7tl0HNuad0obtQ==,Propiedad,2020-05-26,2020-07-01,2020-05-26,,,Argentina,Córdoba,La Falda,,,,5.0,4.0,4.0,,,,Casa 4 dormitorios en La Falda,no paga
Jns21k83z4ddiXg0Dv0dYw==,Propiedad,2019-08-22,9999-12-31,2019-08-22,-34.620510700000004,-58.4246647,Argentina,Capital Federal,Almagro,,,,2.0,,1.0,42.0,40.0,Mensual,PH - Almagro,no paga
UpypWrKi0Yzlxp1Uel3s6g==,Propiedad,2020-04-17,2020-05-30,2020-04-17,-34.6043951,-58.389809,Argentina,Capital Federal,San Nicolás,,,,1.0,0.0,1.0,,,,"Ph en Venta en San nicolás, Capital federal U$S 50000",no paga
nZKA1cx00p4dfn2J44XwJA==,Propiedad,2020-02-13,9999-12-31,2020-02-13,,,Argentina,Capital Federal,,,,,4.0,3.0,4.0,,,,CASA EN VENTA AYRES DE SANTA MONICA,paga
7zOTGbQuijmGEE1AINotYQ==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.6666029,-58.62994200000001,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,,,,4.0,3.0,1.0,,,,Casa PH en Venta en Moron Sur,no paga
gZPbH7rIRGYug+c6VL68wA==,Propiedad,2019-12-25,2020-01-09,2019-12-25,-34.589405519,-58.4344515126,Argentina,Capital Federal,Palermo,,,,3.0,2.0,1.0,52.0,52.0,,Depto.tipo casa de 3 ambientes en Venta en Palermo,no paga
UCjyV8opiUjrNB/nCT6npw==,Propiedad,2020-01-03,2020-03-17,2020-01-03,,,Argentina,Capital Federal,,,,,1.0,1.0,1.0,,,,PH 1 AMBIENTE A ESTRENAR,no paga
gnKZPsPd35HtnJlMdPdB2A==,Propiedad,2020-07-22,9999-12-31,2020-07-22,-34.593262700000004,-58.428191000000005,Argentina,Capital Federal,Palermo,,,,3.0,2.0,1.0,53.0,53.0,,Depto.tipo casa de 3 ambientes en Venta en Palermo,no paga
ev7vwDIZQNlt4ThO4C2UTQ==,Propiedad,2020-03-03,2020-08-10,2020-03-03,-34.601147600000004,-58.481796900000006,Argentina,Capital Federal,Villa del Parque,,,,6.0,6.0,,200.0,200.0,Mensual,2 PH y 2  Locales  en venta. Terreno Propio. Con  ó  Sin Excelente Renta.,paga
JqQbg1YKHp8zUNzDvOPVrA==,Propiedad,2020-08-13,9999-12-31,2020-08-13,-34.4498296,-58.556038199999996,Argentina,Bs.As. G.B.A. Zona Norte,San Fernando,Virreyes,,,5.0,2.0,2.0,137.0,137.0,Mensual,PH - Virr.-Estacion,no paga
BzSCsykrpyIsBAs7b/OLoA==,Propiedad,2020-08-05,9999-12-31,2020-08-05,-34.60239,-58.441152,Argentina,Capital Federal,Villa Crespo,,,,2.0,,1.0,,,,"Departamento PH  en Venta ubicado en Villa Crespo, Capital Federal",no paga
9yO2IRmpzFMnzdLaW86rFA==,Propiedad,2020-07-22,2020-09-13,2020-07-22,-34.550488,-58.474532999999994,Argentina,Capital Federal,Saavedra,,,,7.0,3.0,2.0,185.0,100.0,,PH 7 ambientes reciclado,paga
sd23+nQOD6kfWwXcgkj0vQ==,Propiedad,2020-07-04,2020-07-07,2020-07-04,-34.5579915,-58.4750476,Argentina,Capital Federal,Saavedra,,,,2.0,1.0,2.0,,,,"Oportunidad! Duplex o Local con Renta $30,000. 2 Baños",no paga
YA/l7rDYzLI53QrFIdO46Q==,Propiedad,2020-04-05,9999-12-31,2020-04-05,-34.7245959679,-58.2937045389,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,3.0,2.0,1.0,,,,Casa PH en Venta en Bernal Oeste,no paga
J5etNOn7wA9VMh31IkXRBg==,Propiedad,2019-10-15,9999-12-31,2019-10-15,-34.894271197600006,-57.955740801000005,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,La Plata,,,,,1.0,55.0,40.0,Mensual,PH 1 dorm-55 mts 2-BAJAS EXPENSAS - La Plata,no paga
C/q9Adj7twHCt+VwCDBZ0A==,Propiedad,2020-04-05,9999-12-31,2020-04-05,-34.7246718651,-58.265251828400004,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,2.0,1.0,1.0,,,,Casa PH en Venta en Quilmes Oeste,no paga
E+FX2kTl0hl2cbq5Jqq0ng==,Propiedad,2019-12-24,2020-02-11,2019-12-24,-34.65478579999999,-58.5096016,Argentina,Capital Federal,Mataderos,,,,3.0,2.0,2.0,79.0,65.0,,PH  de 3 ambientes en duplex al frente a estrenar,no paga
cTWjx3XTPuz6gxNzNQTztA==,Propiedad,2020-04-03,9999-12-31,2020-04-03,-34.7100517023,-58.313695205500004,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,4.0,3.0,2.0,,,,Departamento Tipo Casa en Venta en Quilmes Oeste,no paga
ErsL0wLA5vBPSdC249W7rw==,Propiedad,2020-05-27,2020-10-20,2020-05-27,-34.505596000000004,-58.498989,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Olivos,,,5.0,3.0,3.0,,,,Excelentes triplex de categoría,paga
7KdpgwmJdeEREnJmyZDddw==,Propiedad,2020-07-24,2020-08-01,2020-07-24,-34.5579915,-58.4750476,Argentina,Capital Federal,Nuñez,,,,2.0,1.0,2.0,,,,"Oportunidad! Duplex o Local con Renta $30,000. 2 Baños",no paga
cZWlR5KccgIoTYD7HlZBqg==,Propiedad,2019-11-30,2019-12-13,2019-11-30,-38.972386799999995,-68.0266816,Argentina,Neuquén,Neuquén,,,,5.0,3.0,3.0,115.0,97.0,,DUPLEX 3 DORM. EN COMPLEJO “RIVERAS DEL VALLE”|CONFLUENCIA-NEUQUEN.,no paga
/He4SoxQpWL/gRzkk84s7w==,Propiedad,2020-02-28,9999-12-31,2020-02-28,,,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Lomas del Mirador,,,4.0,,1.0,97.0,65.0,,PH en Venta Lomas del Mirador / La Matanza (B119 286),no paga
LqqjHewqltnhUtKWWsKoNQ==,Propiedad,2020-03-24,2020-03-27,2020-03-24,-34.593788364699996,-58.4280162351,Argentina,Capital Federal,Palermo,,,,3.0,2.0,1.0,65.0,57.0,,Depto.tipo casa de 3 ambientes en Venta en Palermo,no paga
t5Pcggz8Yfx+U64N+fxhmw==,Propiedad,2020-03-21,9999-12-31,2020-03-21,-38.0075977,-57.561839600000006,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,,,,"Ph en Venta en San jose, Mar del plata U$S 90000",no paga
5gtMJHPp+fW6vnerWSZ6PQ==,Propiedad,2019-10-31,2020-07-31,2019-10-31,-34.705508200000004,-58.3076931,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,3.0,,1.0,81.0,81.0,Mensual,Venta de departamento tipo casa PH  3 ambientes en Bernal Oeste (25561),no paga
7g0jiFl6PW+i2bGHOL9lbg==,Propiedad,2020-08-12,9999-12-31,2020-08-12,-34.645681,-58.530028,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Ciudadela,,,4.0,2.0,1.0,183.0,75.0,,"PH Ombu 3500, Ciudadela - 4 ambientes",no paga
ecF4xWrW2yw4+Y8BkNAJ9g==,Propiedad,2019-09-20,2019-12-01,2019-09-20,-34.634833,-58.432789,Argentina,Capital Federal,Parque Chacabuco,,,,2.0,1.0,1.0,95.0,91.0,,"VENTA PH P. CHACAB 2amb tipo loft a nuevo, sin exp",no paga
EGOpcpWGkqRtTn4O1IjsgQ==,Propiedad,2020-05-27,2020-07-01,2020-05-27,-31.6595789,-64.4257404,Argentina,Córdoba,Alta Gracia,,,,,2.0,1.0,,,,Casa en Venta - Alta Gracia,no paga
HAtTjwmVe7FYaQP5dtbsyQ==,Propiedad,2019-09-20,2019-10-10,2019-09-20,-34.634037,-58.416394,Argentina,Capital Federal,Boedo,,,,3.0,2.0,1.0,70.0,60.0,,VENTA DEPARTAMENTO EN BOEDO,no paga
B5qTLyIIQV/mAZM4V3vRAA==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.661729038400004,-58.612146377600006,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,,,,2.0,1.0,1.0,,,,Casa PH en Venta en Moron Sur,no paga
ieUxbe2jFTyebfmNh2bgJw==,Propiedad,2020-02-11,2020-02-13,2020-02-11,-34.6031983574,-58.445966036499996,Argentina,Capital Federal,Villa Crespo,,,,3.0,2.0,2.0,78.0,78.0,,Depto.tipo casa de 3 ambientes en Venta en Villa crespo,no paga
mIIVf6Uyj+NgTx5WtMfi7A==,Propiedad,2020-03-15,2020-04-16,2020-03-15,-37.9568648,-57.6162397,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,5.0,3.0,2.0,,,,Zona 228 y Av. Luro. Casa apta credito,no paga
i5ryw9XBjAg1nn/f9fDKEw==,Propiedad,2019-12-16,2020-08-05,2019-12-16,-32.872122643000004,-68.8546787593,Argentina,Mendoza,,,,,6.0,3.0,2.0,,,,SEXTA - Avelino Maure - 204m2 Cub.,no paga
R3rAAg2WQgznb/XqM4u0WQ==,Propiedad,2020-07-16,2020-08-05,2020-07-16,-37.9910276,-57.5925575,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,,,,CASA 3 AMB EN BLOCK EN ESQUINA FRENTE A MAKRO,no paga
B4Jp90d+OHZ7O3tj+F/rOQ==,Propiedad,2019-11-06,2020-01-01,2019-11-06,-34.60807,-58.460828,Argentina,Capital Federal,Caballito,,,,4.0,3.0,2.0,135.0,109.0,,PH en VENTA 4 Ambientes  c/ terraza. ¡OPORTUNIDAD!,no paga
kf+LdsS2ajr46piQ0Dkl7A==,Propiedad,2020-03-17,9999-12-31,2020-03-17,-38.0690654,-57.553225899999994,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,4.0,3.0,3.0,,,,Chalet en Ph4 Ambientes parque piscina y garage Mogotes,no paga
6L2DnpOQb2ZEPV5hSChPVA==,Propiedad,2019-11-14,2019-12-13,2019-11-14,-34.6416956,-58.403812800000004,Argentina,Capital Federal,Parque Patricios,,,,3.0,,2.0,63.0,56.0,Mensual,Venta de PH en Parque Patricios con iluminación natural,no paga
KyjoiV8mwuMlIu2zM9EerQ==,Propiedad,2020-07-22,9999-12-31,2020-07-22,-34.608768100000006,-58.4349673,Argentina,Capital Federal,Parque Centenario,,,,5.0,6.0,2.0,280.0,280.0,,Depto.tipo casa de 7 ambientes en Venta en Parque centenario,paga
1zIOXyRcwC/KEtQBtPOxHQ==,Propiedad,2019-10-31,2019-11-04,2019-10-31,-34.697210999999996,-58.54614300000001,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,San Justo,,,2.0,1.0,1.0,55.0,30.0,,VENTA PH 2 AMBIENTES EN SAN JUSTO - SALTA Y BUFANO,no paga
gZXE0QQRE6DQHB6exSEh9g==,Propiedad,2019-11-29,2020-08-05,2019-11-29,,,Argentina,Mendoza,Luján de Cuyo,,,,5.0,3.0,5.0,,,,Casa Vistalba Country,paga
