id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion
12;Villa Olimpica;Villa Olimpica: Viviendas VII;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 7 contemplo la construccion de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;123691183;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;25/2/2016;31/10/2017;20;100;Cunumi S.A;2015;Licitacion Publica;449/2015
13;Villa Olimpica;Villa Olimpica: Viviendas VIII;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 8 contemplo la construccion de 4 edificios que fueron destinados a los Juegos Olimpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.;174609630;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;15/2/2016;15/11/2017;21;100;Constructora Sudamericana S.A.;2015;Licitacion Publica;528/2015
14;Villa Olimpica;Villa Olimpica: Viviendas X;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 10 completo el grupo de licitaciones de viviendas para los Juegos Olimpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Ademas, se construyeron aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.;98174265;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;28/4/2016;31/12/2017;20;100;Vidogar Construcciones S.A;2015;Licitacion Publica;573/2015
16;Villa Olimpica;Villa Olimpica: Viviendas I;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 1 contemplo la construccion de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.;154853715;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;1/6/2015;20/12/2017;30;100;Cavcon S.A.;2015;Licitacion Publica;1876/2014
17;Parque Olimpico;Parque Olimpico: Demolicion total, extraccion y trasplante de arboles, cerco perimetral;Finalizada;Espacio Publico;Secretaria de Transporte y Obras Publicas;Se procedio a la contruccion de un cerco olimpico perimetral que ayudo a delimitar el area de intervencion, resguardando la ejecucion de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Ademas, incluyo tambien las tareas de demolicion de los edificios y equipamientos obsoletos existentes, la extraccion y trasplante de los arboles y arbustos dentro del mismo predio.;48590604;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;28/12/2016;30/3/2017;3;100;Salvatori S.A Parques Y Jardines;2016;Licitacion Publica;880-SIGAF/16
18;Parque Olimpico;Parque Olimpico: Instalacion de red de agua potable, incendio cloacal, pluvial y red de gas.;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desages cloacales, desages pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olimpico.;42340809;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;30/1/2017;16/4/2018;15;100;Tecma S.A.;2016;Licitacion Publica;1032-SIGAF/16
19;Parque Olimpico;Parque Olimpico: Pabellones A1 Y A2.;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.;194988604;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;15/2/2017;31/12/2017;10;100;Constructora Sudamericana S.A.;2016;Licitacion Publica;1192-SIGAF/16
20;Parque Olimpico;Parque Olimpico: Pabellones A3 Y A4.;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olimpicos.;168646366;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;15/2/2017;12/1/2018;11;100;Criba S.A.;2016;Licitacion Publica;1191-SIGAF/16
21;Parque Olimpico;Parque Olimpico: Espacio publico, equipamiento deportivo exterior;Finalizada;Espacio Publico;Secretaria de Transporte y Obras Publicas;Se contemplo la reacondicion y modernizacion del espacio publico y equipamiento deportivo exterior. Las areas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Ademas, se puso en valor el portico de acceso al parque olimpico, la construccion de una cabina de control con su sector de servicios y la rehabilitacion de la torre tanque acondicionada e incluida al sistema de proteccion contra incendios.;349706395;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;7/6/2017;30/10/2018;16;100;Conorvial S.A;2017;Licitacion Publica;266/2017
22;Parque Olimpico;Parque Olimpico: Pabellon C.;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;Se realizaron obras en el Pabellon C que consistieron en la ejecucion del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realizacion de las competencias, sala de cronometraje, sanitarios, salas de musculacion y preparacion de deportistas, salas de maquinas y gradas para espectadores.;508091151;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;25/4/2017;30/6/2018;14;100;Niro Construcciones S.A.;2017;Licitacion Publica;36/ 2017
24;Villa Olimpica;Villa Olimpica: Red de agua y cloacas;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se realizaron obras de infraestructura complementarias al predio de Villa Olimpica, de redes de agua potable y desages cloacales.;35787390;8;VILLA RIACHUELO;-346.896.258.303.977;-584.776.224.849.345;1/9/2016;1/11/2017;14;100;Reconstruccion De Ca¤os S.A.;2016;Licitacion Publica;81/2015
25;Villa Olimpica;Villa Olimpica: Infraestructura electrica;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se realizaron obras de infraestructura electrica necesarias para las instalaciones en la Villa Olimpica.;54936733;8;VILLA RIACHUELO;-346.896.258.303.977;-584.776.224.849.345;3/1/2017;3/1/2018;12;100;Urban Baires S.A.;2016;Licitacion Publica;912-SIGAF/2016
26;Villa Olimpica;Villa Olimpica: Estacion reguladora y distribucion de gas;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se realizaron obras de infraestructura necesarias para el abastecimiento de la red de distribucion de gas en media presion dentro de la Villa Olimpica y la conexion al gasoducto existente de alta presion. La instalacion se realizo sobre la Av. Escalada para garantizar la correcta distribucion de gas a todos los edificios e instalaciones que comprende el predio.;15242432;8;VILLA SOLDATI;-346.728.993.035.658;-584.585.042.701.709;9/1/2016;30/6/2017;17;100;Ucsa S.A.;2016;Licitacion Publica;981-Sigaf/2016
27;Parque Olimpico;Parque Olimpico: Pabellon B.;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;La obra consistio en la construccion del Pabellon C que albergo a la competencia de gimnasia artistica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, ba¤os generales, oficinas y los espacios necesarios de logistica, enfermeria y doping.;283389377;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;5/8/2017;30/6/2018;10;100;Criba S.A.;2017;Licitacion Publica;35 /17
28;Parque Olimpico;Parque Olimpico: Infraestructura electrica.;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;La licitacion contemplo el reacondicionamiento y modernizacion de las instalaciones existentes en el Parque Olimpico y la ejecucion de la nueva red para la distribucion de energia de los pabellones y edificios administrativos. La obra incluyo una sub estacion de entrada de energia, grupo electrogeno de emergencia, transformadores elevadores de tension e instalaciones de alimentacion en los edificios.;54936733;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;13/2/2017;30/5/2018;15;100;Urban Baires S.A.;2016;Licitacion Publica;1035-SIGAF/16
30;Villa Olimpica;Villa Olimpica: Centro de Desarrollo Infantil Rayito de Sol;Finalizada;Escuelas;Secretaria de Transporte y Obras Publicas;El nuevo jardin maternal esta emplazado en la urbanizacion de la Villa Olimpica lindante al hospital Cecilia Grierson, formando un polo con infraestructura educativa y de contencion en una localizacion de facil acceso.;48500000;8;VILLA LUGANO;-346.781.149.929.409;-584.530.260.976.062;2/1/2017;15/11/2017;10;100;Cunumi S.A;2016;Licitacion Publica;893-SIGAF/16
31;Villa Olimpica;Villa Olimpica: Red vial y pluvial;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se llevo a cabo el proyecto de la red pluvial de captacion y conduccion de los excedentes pluviales de la zona de implantacion de los edificios de vivienda de la comuna 8. La red proyectada se conecto en distintos puntos al ramal escalada.;86226253;8;VILLA SOLDATI;-346.732.416.929.548;-584.585.438.979.202;2/5/2016;31/1/2018;20;100;Ucsa S.A.;2015;Licitacion Publica;1258/2015
32;Paseo Del Bajo;Paseo Del Bajo: Tramo A - Viaductos;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;"La realizacion de esta obra significo una organizacion vial que mejoro sustancialmente la circulacion de mas de 25.000 vehiculos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminacion visual sonora y del aire y aumentando la seguridad vehicular y de peatones. Esta obra tiene mas de 6 kilometros de extension que conecta el sur con el norte de la Ciudad. Se encuentra ubicada entre las calles Alicia Moreau de Justo y Madero-Huergo, y luego en la zona de Retiro circulando por Av. Ramos Mejia, Antartida Argentina y Castillo. Al costado de la trinchera para vehiculos pesados<sobre las avenidas Alicia Moreau de Justo y Madero-Huergo, se ubican los carriles para transito liviano. Hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad maxima de 60 y dos de 40 kilometros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. El ?Paseo del Bajo"" contemplo ademas la creacion de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos ?ïParque Lezama? y que estan ubicados a los costados de los carriles para vehiculos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. Ademas, se crearon nuevas ciclovias para facilitar el acceso y fomentar la recreacion y la movilidad sustentable en la zona.";1547000000;1;PUERTO MADERO;-346.239.195.024.683;-583.655.122.210.836;2/1/2017;30/8/2019;31;100;CORSAN CORVIAM CONSTRUCCION SA;2016;Licitacion Publica;2016-01-0007-00
33;Paseo Del Bajo;Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;El tramo B del proyecto contemplo el recorrido desde el viaducto sur que conecta con las autopistas 25 de Mayo y Buenos Aires-La Plata hasta el comienzo del tramo C en cercanias al parque central. Se desarrollo en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.;1640500000;1;PUERTO MADERO;-346.239.195.024.683;-583.655.122.210.836;2/1/2017;30/4/2019;27;100;Green Seosa Pbt Ute;2016;Licitacion Publica;2016-01-0008-00
34;Paseo Del Bajo;Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;El tramo C se desarrollo desde el final del tramo B en cercanias del parque central hasta el comienzo del viaducto norte en el area de retiro. El primer tramo, al igual que el tramo B, se llevo a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. La segunda parte, a la altura de la Plaza Ca¤ada en Retiro, se llevo a cabo a nivel.;3183200000;1;PUERTO MADERO;-346.239.195.024.683;-583.655.122.210.836;1/2/2017;25/4/2019;26;100;Iecsa - Fontana Nicastro Ute;2016;Licitacion Publica;2016-01-0009-00
35;Cuenca Radio Antiguo y Ugarteche;Ramal Austria I;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;La obra consistio en un conducto de cuatro metros de diametro realizado mediante la metodologia de tunel de excavacion manual con revestimiento metalico tipo linner, que en su primera etapa de ejecucion se complemento con ocho camaras de ataque de 4 metros de diametro ejecutadas con la misma tecnologia.;75368613;2;RECOLETA;-345.865.851.555.223;-583.858.523.008.246;26/5/2015;30/1/2018;32;100;Tecma S.A.;2015;;
37;Cuenca Arroyo Cilda¤ez;Ramal Caaguazu ? Ampliacion Red Pluvial VII;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Los trabajos de la obra hidraulica del ramal Caaguazu consistieron en la ampliacion de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre Av. Rivadavia y calle Yerbal. Consto de dos conductos: El primero se inicio en la esquina de la calle Yerbal y recorre las calles Yerbal y Urdaneta hasta Av. Rivadavia. La segunda comenzo en la esquina de Caaguazu desde Oliden, pasando por calle Ramon L. Falcon.;69200043;9;LINIERS;-346.404.439.324.432;-585.170.794.810.333;28/7/2016;30/4/2018;21;100;SES S.A. - CONSTRUERE INGENIERIA S.A. - RED VII - UNION TRANSITORIA DE EMPRESAS;2016;;
38;Cuenca Larrazabal y Escalada;Ramal Escalada ? Ampliacion Red Pluvial VI;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se realizo una obra de mejoramiento y readecuacion de la Red Pluvial VI, para el mejor escurrimiento de las precipitaciones en la comuna 8.;52685356;8;VILLA RIACHUELO;-346.896.258.303.977;-584.776.224.849.345;22/8/2016;10/12/2017;16;100;Altote S.A. - Naku Construcciones S.R.L. - (Ute);2015;;
39;Cuenca Arroyo Vega;Red Pluvial IV: Ampliacion;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;La obra consistio en la ejecucion de conductos circulares con respectivas camaras, sumideros, nexos y demas componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captacion pluvial, complementarios al plan director de ordenamiento hidraulico.;24536126;12;COGHLAN;-345.603.404.837.208;-584.745.752.357.683;16/6/2014;31/10/2016;28;100;Altote S.A. - Naku Construcciones S.R.L. - (Ute);2013;Licitacion Publica;2529/2013
40;Centro De Exposiciones Y Convenciones;Centro de Exposiciones y Convenciones;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;El equipamiento metropolitano del Centro de Exposiciones y Convenciones se proyecto a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al Parque Thays y la Plaza de las Naciones Unidas, formando un gran parque publico. Se ubica en el predio de Av. Figueroa Alcorta al lado de la Facultad de Derecho constituyendo un enclave estrategico de la ciudad de Buenos Aires dada su localizacion y su potencialidad simbolica y espacial. El edificio tiene capacidad para 5.000 asistentes y esta conformado por una sala plenaria y otras salas auxiliares divisibles. Tambien cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehiculos y un foyer de 1.600 mý. A su vez, tiene acceso a la estacion Facultad de Derecho de la linea H.;313660000;2;RECOLETA;-345.834.390.802.442;-58.388.318.741.317;20/12/2014;30/4/2017;28;100;C.R.I.B.A. SA - MEJORES HOSPITALES SA - UNION TRANSITORIA DE EMPRESAS;2013;Licitacion Publica;2.594/2013
41;Edificio Lezama;Edificio Lezama: Obra Civil;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;La obra del Palacio Lezama se integro dentro del plan de descentralizacion administrativa del gobierno porte¤o al sur de la Ciudad. El edificio es patrimonio historico de la Ciudad y un hito de la memoria urbana del Barrio de Barracas que se encuentra ubicado sobre la Av. Martin Garcia, entre la calle Irala y Av. Regimiento de los Patricios. Posee una superficie aproximada de 30.000 M2 distribuidos en planta baja y 6 pisos, con acceso de vehiculos por calle Pilcomayo. Fue remodelado y restaurado integramente, restaurando la fachada original para satisfacer los requerimientos tecnologicos, funcionales y de seguridad de las dependencias que trabajaban alli. El edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al Ministerio de Modernizacion, Ministerio de Desarrollo Urbano y Transporte, Ministerio de Ambiente y Espacio Publico y Sindicatura General.;52831053;4;LA BOCA;-346.289.077.262.201;-583.699.391.306.946;13/3/2015;30/12/2016;21;100;SES SA;2014;;
44;Cuenca Arroyo Vega;Arroyo Vega - Mejora de la Eficiencia Hidraulica;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;Se llevo adelante la obra que implico entabicar las columnas y las vigas para la mejora de la eficiencia hidraulica del conducto, asegurando el desplazamiento del fluido de la manera mas eficaz posible. La obra se ejecuto entre las calles 11 de Septiembre y Balbin, bajo la calle Blanco Encalada.;20356959;13;BELGRANO;-34.551.158;-58.428.715;22/12/2014;30/9/2016;21;100;Tecma S.A.;2014;Licitacion Publica;1459/2014
46;;Conector Ambiental Iriarte;Finalizada;Espacio Publico;Secretaria de Transporte y Obras Publicas;Tipologia de calle con importante presencia de vegetacion. Forma parte de una red que permite conectar el conjunto de espacios verdes de la Ciudad.;10984180;4;PARQUE PATRICIOS;-346.401.989.896.853;-583.898.871.621.926;3/2/2015;28/7/2017;29;100;Altote S.A;2014;;
47;Parque Olimpico;Parque Olimpico: Cubierta Arena Parque Roca.;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;Como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categoria a areas historicamente relegadas, se construyo el techo corredizo para el Estadio Parque Roca. Dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situacion del clima. La capacidad aumento de 14.500 a 15.500 espectadores, ademas, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el Estadio Parque Roca fue una de las sedes donde se desarrollaron los Juegos Olimpicos de la Juventud 2018.;103608164;8;VILLA SOLDATI;-346.738.968.676.041;-584.360.597.511.207;26/12/2013;15/9/2018;57;100;Teximco S.A. - Dal Constructora. S.A. Ute;2013;Licitacion Publica;1.723/2013
48;Metrobus del Bajo;Metrobus Del Bajo: Paradores - Etapa I;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;El Metrobus del Bajo comprende un corredor vial de 4,8 kilometros sobre las Av. Leandro N. Alem y Av. Paseo Colon que une los Barrios de Retiro y La Boca. El proyecto se inserta dentro del Plan de Movilidad Sustentable en el cual contemplo el redise¤o del espacio para darle prioridad al transporte publico, la promocion de la movilidad sustentable, el ordenamiento, la seguridad vial y la introduccion de tecnologias que permiten brindar informacion en tiempo real. Su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lineas de colectivos que prestan servicio a mas de 300.000 personas por dia.;229538623;1;MONTSERRAT;-346.088.315.009.741;-583.696.577.971.107;15/2/2017;15/7/2017;5;100;Riva S.A;2016;Licitacion Publica;1224-SIGAF/16
49;Acumar;Camino De Sirga II;Finalizada;Hidraulica e Infraestructura;Secretaria de Transporte y Obras Publicas;La segunda etapa del Camino de Sirga se centro en liberar y volver transitable y accesible el margen del Riachuelo entre las calles Vieytes y Av. Saenz. Se recupero para el uso publico en vias de cumplimentar con lo enunciado en el Plan Urbano Ambiental, donde se indican los rasgos fundamentales que deben desarrollar la Ciudad de Buenos Aires y los principales lineamientos para garantizar el alcance de dichos rasgos. Se propuso un parque lineal con un camino vehicular enfocado al transito recreativo de las personas, involucrando la construccion de un paseo ribere¤o, bicisendas, espacios verdes, alumbrado y equipamiento general.;40774370;4;BARRACAS;-346.510.656.459.936;-584.005.697.391.892;8/1/2013;31/5/2017;52;100;Bricons S.A.I.C.F.I.;2012;Licitacion Publica;2278/2012
50;Metrobus Norte;Metrobus Norte: Metrobus Cabildo II;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;La traza de la segunda etapa del Metrobus Norte comienza en Franklin Roosevelt, como continuacion del primer tramo y finaliza en Santos Dumont. Hay paradores en gran parte de la extension del corredor, a excepcion de las cuadras entre Juramento y Echeverria, La Pampa y Jose Hernandez, y Teodoro Garcia y Federico Lacroze. En total, se trato de 5 estaciones, con 22 paradores. Es el septimo corredor de la red de metrobus CABA, que tiene una extension de 2.7 km y revitalizo los barrios de Belgrano, Colegiales y Palermo.;139861846;13;BELGRANO;-34.566.106.529.391;-584.522.895.542.841;8/1/2016;31/5/2017;16;100;Bricons S.A.I.C.F.I.;2016;Licitacion Publica;294-SIGAF/16
51;Metrobus Norte;Metrobus Norte: Centro de Transbordo Pacifico;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;Se ejecutaron paradores linderos a los carriles exclusivos para buses, que funcionan como punto de transbordo de pasajeros. Esta ubicado sobre la Av. Santa Fe entre las calles Carranza y Thames, con una extension de 1,1 km, 22 lineas de colectivos con 375 servicios promedio por hora y cuenta con 11 paradores, mejorando la experiencia de viaje de mas de 120 mil personas todos los dias.;71823848;14;PALERMO;-345.781.652.906.869;-584.265.350.185.129;24/8/2016;24/11/2016;3;100;Construcciones Ingevial S.A.;2016;Licitacion Publica;447-SIGAF/16
52;Pasos Bajo Nivel;Paso bajo nivel Balbin;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;El Paso Bajo Nivel de Av. Balbin se extiende entre Estomba y Av. Goyeneche, pasando por debajo las vias del Ferrocarril Mitre ramal Mitre, a 300 metros de la estacion L. M. Saavedra del tren. Su tunel es doble mano, cuenta con cuatro carriles de circulacion, dos por sentido, con una altura libre de paso de 5,10 metros que lo hace apto para transito liviano y transporte de pasajeros.;119960000;12;SAAVEDRA;-34.554.900.999.041;-584.862.790.845.897;12/6/2016;2/8/2018;26;100;Eleprint - Construmex Ute;2014;Licitacion Publica;2013-01-0016-00
53;Centro De Exposiciones Y Convenciones;Centro de Exposiciones y Convenciones: Ampliacion red de agua y cloacas;Finalizada;Arquitectura;Secretaria de Transporte y Obras Publicas;Dentro de las obras complementarias al Centro de Exposiciones y Convenciones, fue necesario adaptar y relocalizar las acometidas del suministro de servicios de agua potable y de desages cloacales en el predio donde se ubica.;8897525;2;RECOLETA;-345.847.842.935.617;-583.892.534.948.038;14/10/2016;14/1/2017;3;100;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;2016;Licitacion Publica;482-SIGAF/2016
54;Pasos Bajo Nivel;Paso bajo nivel Nazca;Finalizada;Transporte;Secretaria de Transporte y Obras Publicas;El Paso Bajo Nivel de Av. Nazca se extiende entre Pedro Lozano y Marcos Sastre, pasando por debajo las vias del ferrocarril San Martin, a 300 metros de la Estacion Villa del Parque del tren. Su tunel fue hecho doble mano, conto con cuatro carriles de circulacion, dos por sentido, con una altura libre de paso de 5,10 metros, que lo hace apto para transito liviano, pesado y transporte publico de pasajeros.;174350000;11;VILLA DEL PARQUE;-346.007.215.759.788;-584.904.146.013.435;12/12/2016;15/11/2018;23;100;DYCASA SA - FONTANA NICASTRO SAC - UTE;2016;Licitacion Publica;2016-01-0004-00
